Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Chicken Katsu Don,42.000,Chicken katsu cooked with egg and katsudon sauce serve with rice and a pinch of seaweed on top,https://food-cms.grab.com/compressed_webp/items/IDITE2023072102112308579/detail/menueditor_item_53a550361d8c43f384259374bd898362_1689905440503107053.webp,2025-06-01 09:43:33
Chicken Karage Don,42.000,fried chicken karage dipped with authentic sauce and served with salad,https://food-cms.grab.com/compressed_webp/items/IDITE2024051702324631999/detail/menueditor_item_82d9bb93b4e646bd917cc51244a5166b_1715912664169543503.webp,2025-06-01 09:43:33
Chicken Katsu Curry,42.000,Chicken Katsu with Japanese Curry Sauce,https://food-cms.grab.com/compressed_webp/items/IDITE2022092217254500041/detail/menueditor_item_d20205bd5b844611ab9e992128d6682a_1663867514361792550.webp,2025-06-01 09:43:33
Beef Gyudon with Sambal Bawang,44.000,Beef Gyudon with Sambal Bawang,https://food-cms.grab.com/compressed_webp/items/IDITE2022092217244218955/detail/menueditor_item_285b451f1622477cb1beab11f3095f2a_1663867452330897176.webp,2025-06-01 09:43:33
Beef Teriyaki Bowl,52.000,Beef Teriyaki with salad and garnish of seaweed and sesame seeds,https://food-cms.grab.com/compressed_webp/items/IDITE2022092217235254915/detail/menueditor_item_97203154b13141bc87a5268415b4ae1e_1663867390324350112.webp,2025-06-01 09:43:33
Chicken Katsu with Tonkatsu Sauce,42.000,"Chicken Katsu with Tonkatsu sauce, salad and sambal bawang",https://food-cms.grab.com/compressed_webp/items/IDITE2022092217224007223/detail/menueditor_item_1a37e9e2c4aa4248810156bdd0665e20_1663867307588692642.webp,2025-06-01 09:43:33
Chicken Teriyaki Bowl,42.000,Chicken Teriyaki with salad and garnish of seaweed and sesame seeds,https://food-cms.grab.com/compressed_webp/items/IDITE2022092217212481526/detail/menueditor_item_2f4150adccec4b53bcd5ad24505b8f61_1663867219412567700.webp,2025-06-01 09:43:33
Bolognese Yattafries,35.000,Golden brown fries served with bolognese sauce,https://food-cms.grab.com/compressed_webp/items/IDITE2024092602312323414/detail/menueditor_item_359192323dcd41a3aba4233a2c9badfa_1727317855403896823.webp,2025-06-01 09:43:33
Cheese Yattafries,32.000,Golden brown fries served with cheese sauce and mixed cheese,https://food-cms.grab.com/compressed_webp/items/IDITE2024092602302917241/detail/menueditor_item_82c9db786a0742cd89bcaacccf63e853_1727317779866721372.webp,2025-06-01 09:43:33
Yakisoba with Chicken Katsu,50.000,Yakisoba served with chicken katsu,https://food-cms.grab.com/compressed_webp/items/IDITE2023072102115866345/detail/menueditor_item_e0b7524c02ec4b518489a9d3094bc13c_1689905491665710705.webp,2025-06-01 09:43:33
Chicken Katsu Don,42.000,Chicken katsu cooked with egg and katsudon sauce serve with rice and a pinch of seaweed on top,https://food-cms.grab.com/compressed_webp/items/IDITE2023072102112308579/detail/menueditor_item_53a550361d8c43f384259374bd898362_1689905440503107053.webp,2025-06-01 09:43:33
Chicken Karage Don,42.000,fried chicken karage dipped with authentic sauce and served with salad,https://food-cms.grab.com/compressed_webp/items/IDITE2024051702324631999/detail/menueditor_item_82d9bb93b4e646bd917cc51244a5166b_1715912664169543503.webp,2025-06-01 09:43:33
Chicken Katsu Curry,42.000,Chicken Katsu with Japanese Curry Sauce,https://food-cms.grab.com/compressed_webp/items/IDITE2022092217254500041/detail/menueditor_item_d20205bd5b844611ab9e992128d6682a_1663867514361792550.webp,2025-06-01 09:43:33
Beef Gyudon with Sambal Bawang,44.000,Beef Gyudon with Sambal Bawang,https://food-cms.grab.com/compressed_webp/items/IDITE2022092217244218955/detail/menueditor_item_285b451f1622477cb1beab11f3095f2a_1663867452330897176.webp,2025-06-01 09:43:33
Beef Teriyaki Bowl,52.000,Beef Teriyaki with salad and garnish of seaweed and sesame seeds,https://food-cms.grab.com/compressed_webp/items/IDITE2022092217235254915/detail/menueditor_item_97203154b13141bc87a5268415b4ae1e_1663867390324350112.webp,2025-06-01 09:43:33
Chicken Katsu with Tonkatsu Sauce,42.000,"Chicken Katsu with Tonkatsu sauce, salad and sambal bawang",https://food-cms.grab.com/compressed_webp/items/IDITE2022092217224007223/detail/menueditor_item_1a37e9e2c4aa4248810156bdd0665e20_1663867307588692642.webp,2025-06-01 09:43:33
Chicken Teriyaki Bowl,42.000,Chicken Teriyaki with salad and garnish of seaweed and sesame seeds,https://food-cms.grab.com/compressed_webp/items/IDITE2022092217212481526/detail/menueditor_item_2f4150adccec4b53bcd5ad24505b8f61_1663867219412567700.webp,2025-06-01 09:43:33
Honey Lemonade Tea,19.000,Takoyaki topped with Bolognese sauce drizzled with cheese sauce and pinch of dried parsley,https://food-cms.grab.com/compressed_webp/items/IDITE2022092217280611885/detail/menueditor_item_ec9bfaba537d437eb9106fb6ae7b8e46_1663867672822697790.webp,2025-06-01 09:43:33
Peach Yakult,22.000,"Drizzled with teriyaki sauce, topped with freshly made Tartar egg sauce, seaweed powder and a touch of katsuobushi",https://food-cms.grab.com/compressed_webp/items/IDITE2022092217274070351/detail/menueditor_item_54af537ae09d453bac3b7cb225b24e7e_1663867650095489160.webp,2025-06-01 09:43:33
Passionfruit Tea,19.000,"Served with Fish Roe Mayo, cheese, soy sauce and a touch of parsley",https://food-cms.grab.com/compressed_webp/items/IDITE2022092217271783574/detail/menueditor_item_84d1f40401304eee9e3475c33babf8c3_1663867626477539975.webp,2025-06-01 09:43:33
Lychee Tea,19.000,"Drizzled with Yattako authentic sauce, topped with dried green seaweed, mayonnaise and a touch of katsuobushi",https://food-cms.grab.com/compressed_webp/items/IDITE2022092217265410241/detail/menueditor_item_f1a659f03caa4d709dd93e7014155a83_1663867602212317077.webp,2025-06-01 09:43:33
Strawberry Tea,19.000,"Base With Shoyu, Topped With Creamy Mushroom Sauce , Truffle Spray, And Sprinkle Of Cheese On Top",https://food-cms.grab.com/compressed_webp/items/IDITE2022092217263083733/detail/menueditor_item_359bf51d8ca44dd6895ee554ee8be439_1663867574680889076.webp,2025-06-01 09:43:33
Bolognese Takoyaki,38.000,"Drizzled with gochujang sauce and mayonnaise, topped with fresh crabstick and a touch of green onions",https://food-cms.grab.com/compressed_webp/items/IDITE2023121315575635378/detail/menueditor_item_1af8d9caf06741ceb57d1cfa46f2cb25_1702482996743980668.webp,2025-06-01 09:43:33
Teritama Takoyaki,36.000,"Topped with shortplate , sausage, cabbage & egg",https://food-cms.grab.com/compressed_webp/items/IDITE2022050216315738882/detail/281954d7840c4c788bcfd471fef48cf6_1679136509941016819.webp,2025-06-01 09:43:33
Cheese Tobimayo Takoyaki,36.000,"Topped with shortplate, sausage and cabbage",https://food-cms.grab.com/compressed_webp/items/IDITE2022050216301447696/detail/f676699a0762410bac641ed8cbf0bc79_1679276771671455654.webp,2025-06-01 09:43:33
Authentic Takoyaki,36.000,Topped with Yakisoba,https://food-cms.grab.com/compressed_webp/items/IDITE20220426111605014672/detail/43265f50a6024ca881de515a9219c27f_1679276771659943543.webp,2025-06-01 09:43:33
Truffle Mushroom Takoyaki,40.000,Plain,https://food-cms.grab.com/compressed_webp/items/IDITE2022051118383852509/detail/dc6b4ca1555142459bef254cf5e9ee14_1679136509346359368.webp,2025-06-01 09:43:33
Gochujang Takoyaki,36.000,Topped with Yakiniku beef,https://food-cms.grab.com/compressed_webp/items/IDITE2022050216330395848/detail/menueditor_item_1665db2a9be14be58b4ae9f2c1b31937_1651509131776494769.webp,2025-06-01 09:43:33
Strawberry Japanese Yoghurt,22.000,Takoyaki torched with garlic cheese sauce topped with mayasi corn,https://food-cms.grab.com/compressed_webp/items/IDITE2023121316145392043/detail/menueditor_item_f920d3c8a1f943f793e08a69f2049d6d_1702484077201344412.webp,2025-06-01 09:43:33
Lychee Japanese Yoghurt,22.000,Yakisoba torched with garlic cheese sauce topped with mayasi corn,https://food-cms.grab.com/compressed_webp/items/IDITE2023121316142400722/detail/menueditor_item_d96a364b30a0465dbd842e6bc8b994e2_1702484002301238694.webp,2025-06-01 09:43:33
Sakura Yakult,20.000,Chicken Katsu with garlic cheese sauce topped with mayasi corn,https://food-cms.grab.com/compressed_webp/items/IDITE2022050216392004339/detail/menueditor_item_44fa73d35e7540808375ba12894b0abf_1651509536318430781.webp,2025-06-01 09:43:33
Blackcurrant Orange,16.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2022050216402721511/detail/menueditor_item_fc484f2a5b814f4f9182414d85e522be_1651509612619001312.webp,2025-06-01 09:43:33
