Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Japanese Chocolate Marble,42.700,"olive oil, non Egg NON Butter",https://food-cms.grab.com/compressed_webp/items/6-CZB3DFNET6AYAJ-CZB3DF3HT3CDSA/detail/menueditor_item_2238ea1a4dd847d9855dc0db81461ab8_1615783858365756867.webp,2025-05-31 18:31:01
Wholemeal Japanese Choc Marble,42.700,roti kosong untuk sarapan,https://food-cms.grab.com/compressed_webp/items/6-CZB3DFNET6AYAJ-CZB3DF3JA75HEX/detail/12ba46415d29403eabdee75c56fe63c5_1677766031453794478.webp,2025-05-31 18:31:01
Premium wholmeal chochip,42.000,Roti eropa Bentley panjang dengan tekstur sangat renyah,https://food-cms.grab.com/compressed_webp/items/IDITE2022042116184262123/detail/menueditor_item_ecc311d865a740afa12ada02fcadf75f_1650557868884694646.webp,2025-05-31 18:31:01
Multisead low gitu crandbery,48.000,roti dengan tekstur padat dan Kenyal dengan bagian luar yang keras dan garing. tanpa telur dan mentega,https://food-cms.grab.com/compressed_webp/items/IDITE2022042116100963110/detail/menueditor_item_8063ce88e2824f3aba7c26ca3e2fece8_1650557200997178889.webp,2025-05-31 18:31:01
Tawar Kupas Premium,33.300,non Egg NON milk loaf,https://food-cms.grab.com/compressed_webp/items/IDITE2022042115030553565/detail/menueditor_item_537277eedf444ffc843b10f85a345d87_1650553194179846638.webp,2025-05-31 18:31:01
Burger Bun,6.700,"almond , Granola and honey",https://food-cms.grab.com/compressed_webp/items/IDITE2022042114591799216/detail/menueditor_item_bd36283e609e4539a73d01c72c0b6c4b_1650552915197560425.webp,2025-05-31 18:31:01
Baguette 3pcs,32.000,Roti tawar polos cocok untuk sandwich dan French Toast,https://food-cms.grab.com/compressed_webp/items/IDITE2021101117285254230/detail/menueditor_item_367f5ac9b26f40358e5e02a59fb297d9_1650552267144110043.webp,2025-05-31 18:31:01
Bagel (European Bread) 4pcs,33.300,roti tawar berlapiskan Cokelat yang sangat lembut,https://food-cms.grab.com/compressed_webp/items/6-CZB3DFNET6AYAJ-CZB3DF3KCXD2KA/detail/menueditor_item_5cc9125b574e4d14af57f7e492d11c1d_1650552419580937867.webp,2025-05-31 18:31:01
Multiseed Low Gi Healthy Loaf,36.000,Japanese Recipe Loaf bread,https://food-cms.grab.com/compressed_webp/items/6-CZB3DFNET6AYAJ-CZB3DF3BAA23R2/detail/menueditor_item_1c58caf1d730408baa0206ef555dc08c_1650552501119867947.webp,2025-05-31 18:31:01
Premium White Loaf,36.000,slice,https://food-cms.grab.com/compressed_webp/items/6-CZB3DFNET6AYAJ-CZB3DF3KEVMJTN/detail/menueditor_item_2dc0321929f0403288510c2cf576dcdb_1634784105450461217.webp,2025-05-31 18:31:01
Healthy Honey Almond Granola,77.300,Slice,https://food-cms.grab.com/compressed_webp/items/6-CZB3DFNET6AYAJ-CZB3DF3KJTL2HE/detail/menueditor_item_d1e58aa365f0413e9215eeaf6fb3c157_1634788905619285031.webp,2025-05-31 18:31:01
Premium Wholemeal Loaf,36.000,slice,https://food-cms.grab.com/compressed_webp/items/IDITE2022042116315725924/detail/menueditor_item_692314ac0aa94a81b0fd8b7cbcac8410_1650558491474566465.webp,2025-05-31 18:31:01
Sweet Butter Loaf,32.000,slice,https://food-cms.grab.com/compressed_webp/items/IDITE2022042116171665540/detail/menueditor_item_1a376870c0674b4d947090b44d0a5429_1650557731248850765.webp,2025-05-31 18:31:01
Chocolate Marble Loaf,30.700,Paduan sempurna dengan susu untuk Sarapan pagi,https://food-cms.grab.com/compressed_webp/items/6-CZB3DFNET6AYAJ-CZB3DF3JLUVFTE/detail/menueditor_item_9fbad980fc574d289f42eda4b565b4fd_1634785465049069504.webp,2025-05-31 18:31:01
Hokkaido Milk Shokupan,33.300,5pcs,https://food-cms.grab.com/compressed_webp/items/6-CZB3DFNET6AYAJ-CZB3DF3JN4KXEX/detail/a5df23a703164fd88d1826c01c6e628d_1679137561790448899.webp,2025-05-31 18:31:01
Tawar Kupas,24.000,roti pizza yang lembut ditaburi sosis dan keju dengan saus tomat,https://food-cms.grab.com/compressed_webp/items/6-CZB3DFNET6AYAJ-CZB3DF3JR32TLA/detail/be57da81d1314fbf973b80996b92c3c0_1677762673609288399.webp,2025-05-31 18:31:01
Smoked Beef And Cheese Loaf,33.300,roti bubuk arang dengan sosis topping saus tomat dan saus spesial,https://food-cms.grab.com/compressed_webp/items/6-CZB3DFNET6AYAJ-CZB3DF3JT3WVVA/detail/menueditor_item_a541134ec33d425a941288c54981ec81_1634787954805258264.webp,2025-05-31 18:31:01
