Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Caesar Teaser Wrap,60.000,"Mixed Green, Grilled Chicken, Smoked Beef, Egg, Parmesan Cheese, Cracker, Caesar Dressing + Tortila 10""",https://food-cms.grab.com/compressed_webp/items/6-CZCVCPMUETV2CA-CZCZLBJENNU2RE/detail/ddf84c95ffaa49038612548a74c3bbac_1585740382843093614.webp,2025-05-31 18:11:28
Caesar Teaser Bowl,60.000,"Mixed Green, Grilled Chicken, Smoked Beef, Egg, Parmesan Cheese, Cracker, Caesar Dressing",https://food-cms.grab.com/compressed_webp/items/6-CZCVCPMUETV2CA-CZCZLBJDGY4FN2/detail/3138bb9a97634e0bb0314d82ff3992c3_1585739948550370405.webp,2025-05-31 18:11:28
Waldorf Chicken Wrap,65.000,"Mixed Green, Arugula, Grilled Chicken, Onion, Quinoa, Celery, Cherry Tomatoes, Feta Cheese, Grape, Candied Walnut, Cracker, Balsamic Vinegar Dressing",https://food-cms.grab.com/compressed_webp/items/6-CZCVCPMUETV2CA-CZCZLBJFGJU3TN/detail/b07aaa9468524944b945bebddb783cf3_1585740614439679202.webp,2025-05-31 18:11:28
Waldorf Chicken Bowl,65.000,"Mixed Green, Arugula, Grilled Chicken, Onion, Quinoa, Celery, Cherry Tomatoes, Feta Cheese, Grape, Candied Walnut, Cracker, Balsamic Vinegar Dressing",https://food-cms.grab.com/compressed_webp/items/6-CZCVCPMUETV2CA-CZCZLBJEABBVA2/detail/1d42a0c7e3c24b5d8c355b0751eebb0a_1585740135567807794.webp,2025-05-31 18:11:28
Tasty Tuna,56.000,"sauted tuna, lettuce, tomato, egg, honey mustard",https://food-cms.grab.com/compressed_webp/items/IDITE2025021704435848209/detail/menueditor_item_6a1e9b27557f4091b78ab4fcb18b1b8e_1739767362691837000.webp,2025-05-31 18:11:28
Caesar Crunch,52.000,"lettuce, smoked beef, egg, tomato, Caesar mayo",https://food-cms.grab.com/compressed_webp/items/IDITE2025021704484551805/detail/menueditor_item_cdec9bd6346e48d798142e4ffbc97aab_1739767674697566242.webp,2025-05-31 18:11:28
Happy Garden Wrap,65.000,"Mixed Green, Arugula, Carrot, Onion, Grilled Chicken, Smoked Beef, Egg, Parmesan Cheese, Cherry Tomatoes, Fried Garlic, Sweet & Sour Dressing + Tortila 10""",https://food-cms.grab.com/compressed_webp/items/6-CZCVCPMUETV2CA-CZCZLBJFEBTVFA/detail/cc5c899a498549c28a2451bfed2dd397_1585740560669787833.webp,2025-05-31 18:11:28
Thirsty 4 Detox,38.000,"Green Apple, Lemon, Carrot, Pineapple",https://food-cms.grab.com/compressed_webp/items/IDITE20201210055502233271/detail/a6fd436479434b748b1661d779538f27_1622952542380535810.webp,2025-05-31 18:11:28
Patty Party,65.000,"lettuce, Beef Patty, Gherkin Pickle, mozarella, sauce ranch yogurt, honey mustard",https://food-cms.grab.com/compressed_webp/items/IDITE2025032906521201834/detail/menueditor_item_491b015876e94c698c9c32f001d1ece3_1743231065771247670.webp,2025-05-31 18:11:28
Naughty Mentai,65.000,"lettuce, cucumber Pickle, chicken slice, sauce mentai",https://food-cms.grab.com/compressed_webp/items/IDITE2025032906504996096/detail/menueditor_item_97cae30958c8401bafab3cea5e23523d_1743231045087313462.webp,2025-05-31 18:11:28
