Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Donat dasar plus topping caviar,8.000,"Dasaran bisa pilih : Coklat,vanila,tiramisu,stroberi,greentea,capucino,mangga,pisang,avocado,selai bluberi,selai stroberi,selai durian,selai kacang",https://food-cms.grab.com/compressed_webp/items/IDITE2020032309225094500/detail/menueditor_item_f83e956e85314e75a0bee83419311c04_1584955237895152148.webp,2025-05-31 18:19:51
Donat dasar plus topping oreo,8.000,"Dasaran bs dipilih : coklat,vanila,stroberi,tiramisu,taro,mangga,pisang,avocado,selai kacang,selai durian,selai bluberi,selai stroberi",https://food-cms.grab.com/compressed_webp/items/IDITE2020032306544274962/detail/menueditor_item_6b387a9d068b47c1ade5a2fc5ea136bf_1584946365177606799.webp,2025-05-31 18:19:51
Donat dasar plus topping meses,8.000,"Dasaran bisa dipilih : mentega,coklat,vanila,tiramisu,stroberi,greentea,taro,avocado,mangga,pisang,selai bluberi,selai durian,selai stroberi,selai kacang",https://food-cms.grab.com/compressed_webp/items/IDITE2020032306345839026/detail/menueditor_item_1b27259fa4634ddca6ad6adbebfaaeb6_1584945216896803651.webp,2025-05-31 18:19:51
Bombolini campur Coklat dan Selai,42.000,"Topping;meses,twin meses,rainbow meses,kacang,keju,caviar,pink ball,yellow ball,sprinkle,cha-cha,mente,almon,oreo,abon,koko crunch,red velvet,caramel",https://food-cms.grab.com/compressed_webp/items/IDITE2020081506444648985/detail/menueditor_item_d9f2b2b10788456b97dba2cf457346cb_1597473859871438438.webp,2025-05-31 18:19:51
Donat Vanila,42.000,"Topping : meses,twin meses,rainbow meses,kacang,oreo,sprinkle,caviar,pink ball,yellow ball,keju,koko crunch,abon,red velvet,caramel",https://food-cms.grab.com/compressed_webp/items/6-CY6XEEM3VEXXEN-CY6XEFCAEFTUR6/detail/menueditor_item_5b19af2eacbe4aeeb0a4600ee647c48e_1583062437220655860.webp,2025-05-31 18:19:51
Donat Coklat,42.000,"Bisa pilih topping : salut coklat,salut vanila,salut stroberi,salut tiramisu,salut greentea,salut taro,salut mangga,salut pisang,salut avocado",https://food-cms.grab.com/compressed_webp/items/6-CY6XEEM3VEXXEN-CY6XEFCACPCCTJ/detail/menueditor_item_ccd02b954faa4f9495093ec0d6c2a3b6_1583062296863968860.webp,2025-05-31 18:19:51
Donat Ovomaltin,8.000,"Dasar bisa pilih : coklat,vanila,tiramisu,stroberi,greentea,taro,capucino,mangga,pisang,avocado,selai bluberi,selai stroberi,selai durian,selai kacang",https://food-cms.grab.com/compressed_webp/items/6-CY6XEEM3VEXXEN-CY6XEFB3T36BGJ/detail/menueditor_item_dbc66f530822421da2cd2769c8631a9e_1581910318896561900.webp,2025-05-31 18:19:51
Donat dasar plus topping almon,8.000,"Dasar bisa pilih : coklat,vanila,tiramisu,stroberi,greentea,taro,capucino,mangga,pisang,avocado,selai bluberi,selai stroberi,selai durian,selai kacang",https://food-cms.grab.com/compressed_webp/items/IDITE2020032401050589041/detail/menueditor_item_d2ccd26c5c7a4c65b1942d76a9cf85a8_1585011893993941246.webp,2025-05-31 18:19:51
Donat dasar plus topping almon,8.000,"Dasar bisa pilih : coklat,vanila,tiramisu,stroberi,greentea,taro,capucino,mangga,pisang,avocado,selai bluberi,selai stroberi,selai durian,selai kacang",https://food-cms.grab.com/compressed_webp/items/IDITE2020032401050589041/detail/menueditor_item_d2ccd26c5c7a4c65b1942d76a9cf85a8_1585011893993941246.webp,2025-05-31 18:19:51
Donat dasar plus topping mente,8.000,"Dasar bisa pilih : coklat,vanila,tiramisu,stroberi,capucino,greentea,taro,pisang,mangga,avocado,selai stroberi,selai bluberi,selai durian,selai kacang",https://food-cms.grab.com/compressed_webp/items/IDITE2020032401013404976/detail/menueditor_item_dab28c00fa4649c5a69fedab60a8bcca_1585011602639238335.webp,2025-05-31 18:19:51
Donat dasar plus topping koko crunch,8.000,"Dasar bisa pilih : coklat,vanila,tiramisu,capucino,stroberi,greentea,taro,avocado,mangga,pisang,selai bluberi,selai stroberi,selai durian,selai kacang",https://food-cms.grab.com/compressed_webp/items/IDITE2020032400583187126/detail/menueditor_item_0d5a0f7119e746af8dfbd940bcdd9e18_1585011380060106395.webp,2025-05-31 18:19:51
Donat dasar plus topping cha cha,8.000,"Dasar bisa pilih : coklat,vanila,stroberi,tiramisu,capucino,greentea,taro,pisang,mangga,avocado,selai bluberi,selai stroberi,selai durian,selai kacang",https://food-cms.grab.com/compressed_webp/items/IDITE2020032400351059900/detail/menueditor_item_e7cefa34b67842feb3ba28a829eb3d55_1585009866332759410.webp,2025-05-31 18:19:51
Donat dasar plus sprinkle,8.000,"Dasaran bisa pilih : coklat,vanila,stroberi,tiramisu,capucino,greentea,taro,avocado,mangga,pisang,selai stroberi,selqi bluberi,selai durian,selai kacang",https://food-cms.grab.com/compressed_webp/items/IDITE2020032400290528887/detail/menueditor_item_0c6920c04fe94b6ebe2ebfa0b60d9525_1585009625056993016.webp,2025-05-31 18:19:51
Donat dasar plus topping yellow ball,8.000,"Dasaran bisa pilih : coklat,vanila,tiramisu,greentea,taro,stroberi,capucino,pisang,mangga,avocado,selai stroberi,selai bluberi,selai durian,selai kacang",https://food-cms.grab.com/compressed_webp/items/IDITE2020032400252569134/detail/menueditor_item_ea310975977a49f7a5a51dc2bf797037_1585009409260695127.webp,2025-05-31 18:19:51
Donat dasar plus topping pink ball,8.000,"Dasaran bisa pilih : Coklat,vanila,tiramisu,stroberi,greentea,capucino,mangga,pisang,avocado,selai bluberi,selai stroberi,selai durian,selai kacang",https://food-cms.grab.com/compressed_webp/items/IDITE2020032400202954877/detail/menueditor_item_66cbe989232e46149a85626f0e85a926_1585009117058098861.webp,2025-05-31 18:19:51
Donat dasar plus topping caviar,8.000,"Dasaran bs dipilih : coklat,vanila,stroberi,tiramisu,taro,mangga,pisang,avocado,selai kacang,selai durian,selai bluberi,selai stroberi",https://food-cms.grab.com/compressed_webp/items/IDITE2020032309225094500/detail/menueditor_item_f83e956e85314e75a0bee83419311c04_1584955237895152148.webp,2025-05-31 18:19:51
Donat dasar plus topping oreo,8.000,"Dasaran bs pilih : Mentega,coklat,tiramisu,vanila,stroberi,greentea,mangga,pisang,avocado,taro,selai stroberi,selai bluberi,selai durian,selai kacang",https://food-cms.grab.com/compressed_webp/items/IDITE2020032306544274962/detail/menueditor_item_6b387a9d068b47c1ade5a2fc5ea136bf_1584946365177606799.webp,2025-05-31 18:19:51
Donat dasar plus topping keju,8.000,"Dasaran bs dipilih : mentega,coklat,vanila,tiramisu,stroberi,greentea,taro,avocado,mangga,pisang,selai durian,selai bluberi,selai stroberi,selai kacang",https://food-cms.grab.com/compressed_webp/items/IDITE2020032306490899886/detail/menueditor_item_4e72a3cc11fc4a2e97b14e37a3b983a4_1584946046843119063.webp,2025-05-31 18:19:51
Donat dasar plus topping Kacang,8.000,"Dasaran bs dipilih : mentega,coklat,vanila,tiramisu,stroberi,greentea,taro,mangga,pisang,avocado,selai durian,selai bluberi,selai stroberi,selai kacang",https://food-cms.grab.com/compressed_webp/items/IDITE2020032306434347601/detail/menueditor_item_15b32c7957e24e579965683545ba42f2_1584945724083632633.webp,2025-05-31 18:19:51
Donat dasar plus topping twin meses,8.000,"Dasaran bisa dipilih : mentega,coklat,vanila,tiramisu,stroberi,greentea,taro,avocado,mangga,pisang,selai bluberi,selai durian,selai stroberi,selai kacang",https://food-cms.grab.com/compressed_webp/items/IDITE2020032306371514752/detail/menueditor_item_1f46ba797e3745b5aa32fbcf39083f4b_1584945361471276503.webp,2025-05-31 18:19:51
Donat dasar plus topping meses,8.000,"Bisa pilih topping : meses,twin meses,kacang,abon manis,abon pedas,keju,caviar,pink ball,yellow ball,almon,mente,koko crunch",https://food-cms.grab.com/compressed_webp/items/IDITE2020032306345839026/detail/menueditor_item_1b27259fa4634ddca6ad6adbebfaaeb6_1584945216896803651.webp,2025-05-31 18:19:51
Donat Mentega plus topping,8.000,"Bisa pilih topping : meses,kacang,oreo,almon,caviar,pink ball,yellow ball,sprinkle,cha2,almon,mente,koko crunch",https://food-cms.grab.com/compressed_webp/items/IDITE2020032217320181621/detail/menueditor_item_33151ad5d6994b729389caa65c88e16b_1584929802971561183.webp,2025-05-31 18:19:51
Donat Selai Durian plus topping,8.000,"Bisa pilih topping : meses,kacang,oreo,keju,caviar,pink ball,yellowball,sprinkle,cha2,almon,mente,koko crunch,salut coklat,salut vanila,salut tiramisu,salut greentea,salut taro,salut mangga,salut pisang,salut avocado",https://food-cms.grab.com/compressed_webp/items/IDITE2020032217231384463/detail/menueditor_item_173a9055dcd547a9a6b8b271d3c6dc0c_1584898021013669301.webp,2025-05-31 18:19:51
Donat Stroberi plus topping,8.000,"Bisa pilih topping : meses,kacang,oreo,keju,caviar,pink ball,yellow ball,sprinkle,cha2,almon,mente,koko crunch,salut coklat,salut stroberi,salut vanila,salut taro,salut greentea,salut mangga,salut pisang,salut avocado",https://food-cms.grab.com/compressed_webp/items/IDITE2020032217151106821/detail/menueditor_item_13eb4026c54c4113a99cf20f63e33891_1584897165204715186.webp,2025-05-31 18:19:51
Donat Tiramisu plus topping,8.000,"Bisa pilih topping : meses,kacang,caviar,pink ball,yellow ball,mente,sprinkle,cha2,keju,oreo,almon,salut coklat,salut tiramisu,salut stroberi,salut greentea,salut mangga,salut pisang,salut avocado,salut taro",https://food-cms.grab.com/compressed_webp/items/IDITE2020032217111074227/detail/menueditor_item_386c7affa0444f6abed79b1b53690c05_1584897358924198546.webp,2025-05-31 18:19:51
Donat Vanila plus topping,8.000,"Bisa pilih topping : Meses,kacang,caviar,pink ball,yellow ball,keju,sprinkle,cha2,almond,mente,koko crunch,oreo,salut vanila,salut stroberi,salut tiramisu,salut greentea,salut pisang,salut avocado,salut mangga",https://food-cms.grab.com/compressed_webp/items/IDITE2020032217074747833/detail/menueditor_item_a23d4d350a924d02996d30668ec27388_1584896736036810233.webp,2025-05-31 18:19:51
Donat Coklat plus topping,8.000,"Bisa pilih topping : meses,kacang,keju,caviar,pink ball,yellow ball,sprinkle,cha-cha,mente,almon,oreo,koko crunch,salut coklat,salut vanila,salut stroberi,salut mangga,salut avocado,salut pisang,salut tiramisu",https://food-cms.grab.com/compressed_webp/items/IDITE2020032216353949231/detail/menueditor_item_b80b2e06e24d4a24a964c7b3f1b26873_1584894785275263173.webp,2025-05-31 18:19:51
Donat Green Tea plus topping,8.000,"Bisa pilih topping ; meses,kacang,keju,caviar,pink ball,yellow ball,sprinkle,cha-cha,mente,almon,oreo,koko crunch,salut coklat,salut vanila,salut stroberi,salut tiramisu,salut greentea,salut mangga,salut pisang,salut avocado",https://food-cms.grab.com/compressed_webp/items/6-CY6XEEM3VEXXEN-CY6XEFB3APVHFA/detail/menueditor_item_2a340b3fb8394c62af9005fc96fbc5aa_1581685857864534318.webp,2025-05-31 18:19:51
Donat Taro plus topping,8.000,"Bisa pilih topping ; meses,kacang,keju,caviar,pink ball,yellow ball,sprinkle,cha2,oreo almon,mente,koko crunch,salut coklat,salut vanila,salut stroberi,salut tiramisu,salut taro,salut greentea,salut mangga,salut pisang,salut avocado",https://food-cms.grab.com/compressed_webp/items/6-CY6XEEM3VEXXEN-CY6XEFB3CNBYV2/detail/menueditor_item_569ea9098bd743f7907dc62aa552baf5_1581685754270136021.webp,2025-05-31 18:19:51
Donat Selai Bluberi plus topping,8.000,"Bisa pilih topping ; meses,kacang,keju,caviar,pink ball,yellow ball,sprinkle,cha-cha,mente,almon,oreo,koko crunch,salut coklat,salut vanila,salut tiramisu,salut stroberi,salut greentea,salut taro,salut mangga,salut pisang,salut avocado",https://food-cms.grab.com/compressed_webp/items/6-CY6XEEM3VEXXEN-CY6XEFB3JGJFAX/detail/menueditor_item_f828508968304a48b4bdc9ffcb57b5fa_1581686455296557363.webp,2025-05-31 18:19:51
