Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Ultimate Triple Cheese Pizza,42.900,Pizza dengan topping 3 varian keju,https://food-cms.grab.com/compressed_webp/items/IDITE20240319113017011906/detail/menueditor_item_648485e6ed714439a9fd4b3fe922b8cf_1715835265783970058.webp,2025-05-31 18:48:06
Cheeseburger Pizza,42.900,Pizza dengan topping Daging Cincang Keju didalamnya,https://food-cms.grab.com/compressed_webp/items/IDITE20240319113017039454/detail/menueditor_item_522cb5c43f9a4a7fa293e47f1358375f_1715529430270334434.webp,2025-05-31 18:48:06
Pepperoni Mania Pizza,37.900,Pizza dengan topping Daging Pepperoni di dalamnya,https://food-cms.grab.com/compressed_webp/items/IDITE20240319113018013791/detail/6-C6JJG8D1MFBZFA_4f63ffed5d89427092a10d73e1643470_1714999381205142370.webp,2025-05-31 18:48:06
Double Pizza Platter Hampers,135.000,"hamper berisi 2 pizza pilihan kamu, termasuk box takeaway, paperbag, dan kartu ucapan ramadhan ( tulis dicatatan jika ingin dituliskan)",https://food-cms.grab.com/compressed_webp/items/IDITE2024032305010332213/detail/menueditor_item_e8c7e75a9c6c4867970c328152ab9c31_1715916073352918587.webp,2025-05-31 18:48:06
Smoked Beef N Cheese,42.900,Pizza dengan topping Daging Slice didalamnya,https://food-cms.grab.com/compressed_webp/items/IDITE20240319113017020000/detail/menueditor_item_e65a70e6d27848b28c5fb82478c08e84_1714628377402645225.webp,2025-05-31 18:48:06
Smoke BBQ Steak Pizza,42.900,Pizza dengan topping Daging Cincang BBQ di dalamnya,https://food-cms.grab.com/compressed_webp/items/IDITE20240319113017044777/detail/menueditor_item_a30728a1d41a46c6b7a00b3253bfbb9f_1715835317159649346.webp,2025-05-31 18:48:06
Pizza Platter Hampers,99.000,"hamper berisi pizza platter, terdiri dari 1 pizza pilihan kamu, 3 pcs garlic bread, karage/ beef sausage, dan french fries (pilihan rasa: ori/ bbq)",https://food-cms.grab.com/compressed_webp/items/IDITE2024032304591742010/detail/menueditor_item_1fc16355050649c2a5b22b8af45a357a_1715916116015199654.webp,2025-05-31 18:48:06
(CDF) Carbonara Ultimate Spaghetti,60.900,Pizza dengan topping 3 varian keju,https://food-cms.grab.com/compressed_webp/items/IDITE2024042308273511949/detail/menueditor_item_4790ff1fa0ee4b8dbe9550c2f692adac_1714632824686081091.webp,2025-05-31 18:48:06
(CDF) Ultimate Triple Cheese Pizza,61.900,Pizza dengan topping Daging Slice didalamnya,https://food-cms.grab.com/compressed_webp/items/IDITE2024042308441333625/detail/menueditor_item_fe90c01dbff64e93a7ea46e391be98e3_1714632408201652622.webp,2025-05-31 18:48:06
(CDF) Smoked Beef N Cheese,61.900,Pizza dengan topping Daging Cincang Keju didalamnya,https://food-cms.grab.com/compressed_webp/items/IDITE2024042308423759260/detail/menueditor_item_58bb2fef74534dcdbe3adbd0a8cf53b0_1714632438671062213.webp,2025-05-31 18:48:06
