Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
KFC Puas Burger,15.000,Crispy Burger + Softdrink Reguler,https://food-cms.grab.com/compressed_webp/items/IDITE20250507184912015676/detail/493de7c8_13691.webp,2025-05-31 18:16:53
KFC Puas Noodle,15.000,Noodle + Softdrink Reguler,https://food-cms.grab.com/compressed_webp/items/IDITE20250507184912026148/detail/5dc260b7_13692.webp,2025-05-31 18:16:53
KFC Puas Nasi Uduk,15.000,Nasi Uduk + Softdrink Reguler,https://food-cms.grab.com/compressed_webp/items/IDITE20250507184913017615/detail/3cea7502_13693.webp,2025-05-31 18:16:53
Klepon Float,19.500,1 Klepon Float,https://food-cms.grab.com/compressed_webp/items/IDITE20250223184648114405/detail/deb8cebd_13758.webp,2025-05-31 18:16:53
LDR Package,26.500,1Pc Chicken + 1Rice + 1 Coke Zero Reg,https://food-cms.grab.com/compressed_webp/items/IDITE20240913185322116829/detail/c2565426_13427.webp,2025-05-31 18:16:53
KFC Noodle Combo,75.000,2 KFC Noodle + 4 Tahu Bakso + 2 Coca Cola Reguler,https://food-cms.grab.com/compressed_webp/items/IDITE20250306184726058995/detail/56abf30e_13872.webp,2025-05-31 18:16:53
Winger Barbeque Fest 1,37.500,1 ½ Winger (3 Drumette & 3 Wingette) Barbeque,https://food-cms.grab.com/compressed_webp/items/IDITE20250307194833014696/detail/3d5cacc6_13803.webp,2025-05-31 18:16:53
Winger Barbeque Fest 2,59.000,2 ½ Winger (5 Drumette & 5 Wingette) Barbeque,https://food-cms.grab.com/compressed_webp/items/IDITE20250307194834013158/detail/e8a38962_13806.webp,2025-05-31 18:16:53
Triple Treat,69.000,3Pc Chicken + 3Rice + 3 Fanta Reguler,https://food-cms.grab.com/compressed_webp/items/IDITE20240906185339108614/detail/35b72949_13401.webp,2025-05-31 18:16:53
Combo Latte 1,50.000,1 Pc Chicken + 1 Rice + 1 Spaghetti Deluxe New + 1 Ice Latte Nescafe,https://food-cms.grab.com/compressed_webp/items/IDITE20240514185020038711/detail/54509052_13161.webp,2025-05-31 18:16:53
Combo Latte 2,42.500,1 Pc Chicken + 1 Crispy Burger + 1 Ice Latte Nescafe,https://food-cms.grab.com/compressed_webp/items/IDITE20240514185022072673/detail/6e73bd50_13162.webp,2025-05-31 18:16:53
Nasi Uduk,20.500,Nasi Uduk,https://food-cms.grab.com/compressed_webp/items/IDITE20250113184226013554/detail/c4d1cf97_13650.webp,2025-05-31 18:16:53
