Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Kebab Original,20.909,"Kebab special dengan daging sapi asap, telur, dan lelehan saus mentai yang padat dan dijamin kenyang",https://food-cms.grab.com/compressed_webp/items/6-C2CJA3T2EXTVVX-C2CJA3UACJWCFA/detail/87b4db08fb3445fa9ac21ddf7b85a148_1610029681326376625.webp,2025-05-31 19:06:27
Signature Smoked Kebab,31.818,Kebab special daging sapi & sosis sapi dipadukan dengan saos khas Baba Rafi yang legit,https://food-cms.grab.com/compressed_webp/items/IDITE20241031170343542530/detail/39d4a17236fb46038d314328fbfdac39_1730394223559403009.webp,2025-05-31 19:06:27
Meat Lovers Kebab,27.273,"Roti canai dengan pilihan rasa khas yang gurih variant original, oreo dan cokelat keju",https://food-cms.grab.com/compressed_webp/items/IDITE20241031170343822816/detail/7c0109ce70ad4cce8404bfacc4f2a254_1730394223818434497.webp,2025-05-31 19:06:27
Kebab Chijeu,20.000,"Daging burger variant ayam, sapi, crispy dan patty dengan potongan kyuri dan tomat, daun lettuce segar, onion & saus mayonnaise",https://food-cms.grab.com/compressed_webp/items/6-C2CJA3T2EXTVVX-C2CJA3UEGZDGWE/detail/1bfe59edec004bb7be5211755a42d86f_1610029674496542677.webp,2025-05-31 19:06:27
Roti Canai,12.727,"Kebab special dengan daging sapi asap, telur, dan lelehan saus mentai yang padat dan dijamin kenyang",https://food-cms.grab.com/compressed_webp/items/IDITE20211210081711148315/detail/61e858b6be0a42e7a4b0bc20ed2b1865_1639124231620351837.webp,2025-05-31 19:06:27
Kebab Black,20.909,Kebab special daging sapi & sosis sapi dipadukan dengan saos khas Baba Rafi yang legit,https://food-cms.grab.com/compressed_webp/items/6-C2CJA3T2EXTVVX-C2CJA3UAJGAFUE/detail/d651a62b388b4609bb3f4a36c7cf1649_1610029681640916826.webp,2025-05-31 19:06:27
Burger,20.000,Buy Kebab Sapi Ori FREE Topping Telur,https://food-cms.grab.com/compressed_webp/items/IDITE20211210081710151510/detail/218f89086f854493a7afcc7e9198248e_1639124230520822556.webp,2025-05-31 19:06:27
Kebab Black,20.909,Kebab Chijeu + Kebab Sei Ayam,https://food-cms.grab.com/compressed_webp/items/6-C2CJA3T2EXTVVX-C2CJA3UBE4BYSA/detail/7bc28ac8c0ee4016b5d7e4e0da4ac3fe_1610029680969183045.webp,2025-05-31 19:06:27
Signature Smoked Kebab,31.818,Buy Triple Kebab Sapi Ori Get 3 Canai Ori,https://food-cms.grab.com/compressed_webp/items/IDITE20241031170343542530/detail/39d4a17236fb46038d314328fbfdac39_1730394223559403009.webp,2025-05-31 19:06:27
Meat Lovers Kebab,27.273,Kebab dengan isian dengan berbagai variant pisang cokelat/sosis/olahan daging sapi dibungkus dengan tortilla original yang lembut & lezat,https://food-cms.grab.com/compressed_webp/items/IDITE20241031170343822816/detail/7c0109ce70ad4cce8404bfacc4f2a254_1730394223818434497.webp,2025-05-31 19:06:27
