Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
McFlurry Oreo,14.000,Es krim vanilla lembut dengan campuran biskuit Oreo crumbs,https://food-cms.grab.com/compressed_webp/items/IDITE20211217101605330760/detail/99608d566784477291e3877abccc05ce_1654190807204838130.webp,2025-05-31 18:24:02
Strawberry McFlurry with KitKat Mini Bites,18.000,Perpaduan Vanilla soft ice cream McD dengan kaya rasa Strawberry dan topping KitKat Mini Bites,https://food-cms.grab.com/compressed_webp/items/IDITE20220630060108333578/detail/0705888c5d3f43a8aee4c384843565c9_1656568868554794650.webp,2025-05-31 18:24:02
Chocolate McFlurry with KitKat Mini Bites,18.000,Perpaduan Vanilla soft ice cream McD dengan kaya rasa Coklat dan topping KitKat Mini Bites,https://food-cms.grab.com/compressed_webp/items/IDITE20220630060108085481/detail/bca5cd8c913b40e3830771d43af606ea_1656568868253217464.webp,2025-05-31 18:24:02
Mudpie McFlurry Chocolate,16.500,"Eksklusif hanya di McDonald's Dessert Kiosk, citarasa chocolate cookies spesial dan es krim vanilla lembut",https://food-cms.grab.com/compressed_webp/items/IDITE20211217101605280245/detail/749bfa876f9248089e1fa9254b774a9f_1654190812409617796.webp,2025-05-31 18:24:02
"Sundae Smash, Rainbow Sparkles",16.500,Serunya es kirm vanilla terlapis coklat dengan choco rice warna-warni di dalamnya,https://food-cms.grab.com/compressed_webp/items/IDITE20220731171035025041/detail/1b4d052ae2ed49f783b34c30fb9447f4_1659287435212399425.webp,2025-05-31 18:24:02
Double Choco Sundae,14.000,Es krim cokelat lembut dengan toping cokelat,https://food-cms.grab.com/compressed_webp/items/IDITE20250318033932059367/detail/401072023331421d8733a5b6ec306b85_1742269172154546691.webp,2025-05-31 18:24:02
Sundae Chocolate,12.000,Es krim vanilla lembut dengan pilihan topping coklat,https://food-cms.grab.com/compressed_webp/items/IDITE20211004130425238336/detail/a9e57f64698a4fbbbf5d63ac8495e1d6_1633352665939652846.webp,2025-05-31 18:24:02
Mudpie McFlurry Strawberry,16.500,"Eksklusif hanya di McDonald's Dessert Kiosk, citarasa strawberry cookies spesial dan es krim vanilla lembut",https://food-cms.grab.com/compressed_webp/items/IDITE20211217101605305296/detail/d4749ddbfc364e5b8bb9555ef9347555_1654190812674645406.webp,2025-05-31 18:24:02
Chocolate McFlurry with KitKat Mini Bites,18.000,Perpaduan Vanilla soft ice cream McD dengan kaya rasa Coklat dan topping KitKat Mini Bites,https://food-cms.grab.com/compressed_webp/items/IDITE20220630060108085481/detail/bca5cd8c913b40e3830771d43af606ea_1656568868253217464.webp,2025-05-31 18:24:02
Strawberry McFlurry with KitKat Mini Bites,18.000,Perpaduan Vanilla soft ice cream McD dengan kaya rasa Strawberry dan topping KitKat Mini Bites,https://food-cms.grab.com/compressed_webp/items/IDITE20220630060108333578/detail/0705888c5d3f43a8aee4c384843565c9_1656568868554794650.webp,2025-05-31 18:24:02
Mudpie McFlurry Chocolate,16.500,"Eksklusif hanya di McDonald's Dessert Kiosk, citarasa chocolate cookies spesial dan es krim vanilla lembut",https://food-cms.grab.com/compressed_webp/items/IDITE20211217101605280245/detail/749bfa876f9248089e1fa9254b774a9f_1654190812409617796.webp,2025-05-31 18:24:02
Mudpie McFlurry Strawberry,16.500,"Eksklusif hanya di McDonald's Dessert Kiosk, citarasa strawberry cookies spesial dan es krim vanilla lembut",https://food-cms.grab.com/compressed_webp/items/IDITE20211217101605305296/detail/d4749ddbfc364e5b8bb9555ef9347555_1654190812674645406.webp,2025-05-31 18:24:02
McFlurry Oreo,14.000,Es krim vanilla lembut dengan campuran biskuit Oreo crumbs,https://food-cms.grab.com/compressed_webp/items/IDITE20211217101605330760/detail/99608d566784477291e3877abccc05ce_1654190807204838130.webp,2025-05-31 18:24:02
McFlurry Choco,14.000,Es krim vanilla lembut dengan campuran bubuk Coklat,https://food-cms.grab.com/compressed_webp/items/IDITE20211217101605350014/detail/67029c66bf51476f82473fb3719cebab_1654190806659523588.webp,2025-05-31 18:24:02
"Sundae Smash, Rainbow Sparkles",16.500,Serunya es kirm vanilla terlapis coklat dengan choco rice warna-warni di dalamnya,https://food-cms.grab.com/compressed_webp/items/IDITE20220731171035025041/detail/1b4d052ae2ed49f783b34c30fb9447f4_1659287435212399425.webp,2025-05-31 18:24:02
"Sundae Smash, Crunchy Waffle",16.500,Serunya es kirm vanilla terlapis coklat dengan renyahnya potongan waffer di dalamnya,https://food-cms.grab.com/compressed_webp/items/IDITE20220731171035041689/detail/dd8717854e96424e9119e87cdd92b39b_1659287435471547024.webp,2025-05-31 18:24:02
"Sundae Smash, Strawberry",16.500,Serunya es kirm vanilla terlapis coklat dengan selai strawberry di dalamnya,https://food-cms.grab.com/compressed_webp/items/IDITE20220731171035080766/detail/9c12c5568c6748548ae73abcdf1f87e9_1659287435796516800.webp,2025-05-31 18:24:02
Double Choco Sundae,14.000,Es krim cokelat lembut dengan toping cokelat,https://food-cms.grab.com/compressed_webp/items/IDITE20250318033932059367/detail/401072023331421d8733a5b6ec306b85_1742269172154546691.webp,2025-05-31 18:24:02
Cokelat Strawbery Sundae,14.000,Es krim cokelat lembut dengan toping selai strawberry,https://food-cms.grab.com/compressed_webp/items/IDITE20250318033932165025/detail/0b9e97911e8f4599a22ab01bbe10055b_1742269172426330301.webp,2025-05-31 18:24:02
Sundae Chocolate,12.000,Es krim vanilla lembut dengan pilihan topping coklat,https://food-cms.grab.com/compressed_webp/items/IDITE20211004130425238336/detail/a9e57f64698a4fbbbf5d63ac8495e1d6_1633352665939652846.webp,2025-05-31 18:24:02
Sundae Strawberry,12.000,Es krim vanilla lembut dengan pilihan topping strawberry,https://food-cms.grab.com/compressed_webp/items/IDITE20211004130426050641/detail/9a98ac3410ae45a18f688b60b1930bd5_1633352666250296850.webp,2025-05-31 18:24:02
Dinosaur McFlurry with MILO Choco Balls,18.000,Perpaduan Vanilla soft ice cream McD dengan Bubuk MILO® Berlimpah dan topping MILO® Choco Balls renyah,https://food-cms.grab.com/compressed_webp/items/IDITE20250222030001049557/detail/47d2eead664b4460b7d2e7b2d0b24d6b_1740193201575753455.webp,2025-05-31 18:24:02
Dinosaur McFlurry Dark Choco with OREO,18.000,Perpaduan Vanilla soft ice cream McD dengan Bubuk MILO® Berlimpah dan topping OREO® crumbs,https://food-cms.grab.com/compressed_webp/items/IDITE20250222030001259953/detail/301e12b44db84fcc8b1d107c9aea91f5_1740193201896257226.webp,2025-05-31 18:24:02
