Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Lemon Black Tea-Fruit Tea,9.900,"Lemon Black Tea ini memiliki rasa yang unik. Rasa teh hitam yang kuat berpadu dengan asamnya lemon, menghasilkan minuman yang nikmat dan menyegarkan.",https://food-cms.grab.com/compressed_webp/items/IDITE20250510073452507355/detail/224722a8036f4d59b96794b83376d883_1746862492568152771.webp,2025-05-31 18:14:07
Brown Sugar Boba Sundae-Ice Cream,12.900,Brown Sugar Boba adalah pilihan yang cocok buat cuaca panas. Es krim yang lembut dingin dipadukan dengan boba yang kenyal serta rasa manis gula aren yang khas. Para penikmat es kirm boleh yuk cobain!,https://food-cms.grab.com/compressed_webp/items/IDITE20250510073452496704/detail/c2dfc293d5184708bc8cf4ddc6d437aa_1746862492444511050.webp,2025-05-31 18:14:07
PAKET ASAM MANIS,19.900,Paket Lemonade + Oreo Sundae,https://food-cms.grab.com/compressed_webp/items/IDITE20250510073452471879/detail/dcde5e1247704e7b82425c4fc4891c88_1746862492117460146.webp,2025-05-31 18:14:07
PAKET PASANGAN MANIS,29.900,Paket Brown Sugar Boba Sundae + Oreo Sundae,https://food-cms.grab.com/compressed_webp/items/IDITE20250510073451465821/detail/e06c5cc7164e4d1882fd902bc6fd7c6b_1746862491987624556.webp,2025-05-31 18:14:07
PAKET DOUBLE BOBA,29.900,Paket Boba Milk Tea *Brown Sugar + Brown Sugar Boba Sundae,https://food-cms.grab.com/compressed_webp/items/IDITE20250510073451452538/detail/e7b016b2e1dc4d1990c1eb5a988d2f36_1746862491842073602.webp,2025-05-31 18:14:07
SWEET SUNDAE PAKET,43.900,Paket Oreo Sundae + Brown Sugar Boba Sundae + Choco Fiesta Sundae,https://food-cms.grab.com/compressed_webp/items/IDITE20250510073451448006/detail/049d248d1a5e49a38f723524a3e381db_1746862491672448912.webp,2025-05-31 18:14:07
FRIENDS SHARE A,49.900,3 Cup Milk Tea Boom M + 3 Cup Gula Aren Milk Tea L,https://food-cms.grab.com/compressed_webp/items/IDITE20250510073451438172/detail/17ba7fc05dde40928357960f18826435_1746862491560152969.webp,2025-05-31 18:14:07
FRIENDS SHARE B,79.900,2 Cup Brown Sugar Boba Sundae + 1 Cup Oreo Sundae + 2 Cup Strawberry Sundae + 1 Cup Mango Sundae,https://food-cms.grab.com/compressed_webp/items/IDITE20250510073451427874/detail/63df6d674b9b4a259af958f842b82545_1746862491391206604.webp,2025-05-31 18:14:07
Jumbo Milk Tea-Jumbo,33.000,Jumbo Milk Tea ini dengan kapasitas besar sekitar 1000 ml bisa dinikmati bersama. Di dalamnya terdapat banyak boba kenyal dan susu teh yang lezat. Susu tehnya yang dan boba dengan tekstur kenyal.,https://food-cms.grab.com/compressed_webp/items/IDITE20250510073451408422/detail/284813e8e27746918db02d9ab7699b1d_1746862491065973539.webp,2025-05-31 18:14:07
Brown Sugar Boba Jumbo Ice Cream -Jumbo,35.900,"Es krim lembut Brown Sugar Boba dengan kapasitas besar 1L, cocok untuk pesta dan berbagi, memanjakan setiap pecinta hidangan manis!",https://food-cms.grab.com/compressed_webp/items/IDITE20250510073450389260/detail/b59e01ccd95440e8be68ff6e3e78b5ef_1746862490812933793.webp,2025-05-31 18:14:07
Strawberry Jumbo Ice Cream-Jumbo,35.900,"Es krim lembut Strawberry Jumbo Ice Cream dengan kapasitas besar 1L, cocok untuk pesta dan berbagi, memanjakan setiap pecinta hidangan manis!",https://food-cms.grab.com/compressed_webp/items/IDITE20250510073450376378/detail/55c7cb32daf84279ba91cef442832945_1746862490676214464.webp,2025-05-31 18:14:07
Mango Jumbo Ice Cream-Jumbo,35.900,"Es krim lembut Mango Jumbo Ice Cream dengan kapasitas besar 1L, cocok untuk pesta dan berbagi, memanjakan setiap pecinta hidangan manis!",https://food-cms.grab.com/compressed_webp/items/IDITE20250510073450361682/detail/8a63162e8f1e4c4fa5e09782e464139e_1746862490523169725.webp,2025-05-31 18:14:07
Peach Jumbo Ice Cream-Jumbo Ice Cream,35.900,"Es krim lembut Peach Jumbo Ice Cream dengan kapasitas besar 1L, cocok untuk pesta dan berbagi, memanjakan setiap pecinta hidangan manis!",https://food-cms.grab.com/compressed_webp/items/IDITE20250510073450353392/detail/menueditor_item_72e3c6300e324d28ba9f514ca14ce442_1747382472519082129.webp,2025-05-31 18:14:07
Oreo Mountain Jumbo Ice Cream-Jumbo Ice Cream,35.900,"Es krim lembut Oreo Mountain Jumbo Ice Cream dengan kapasitas besar 1L, cocok untuk pesta dan berbagi, memanjakan setiap pecinta hidangan manis!",https://food-cms.grab.com/compressed_webp/items/IDITE20250510073450346769/detail/a5978e59cd514085912af907452aa071_1747381945567549026.webp,2025-05-31 18:14:07
Peach Jelly Sundae-Ice Cream,13.000,Peach Jelly Sundae adalah pilihan sempurna untuk pencinta es krim yang mencari rasa buah yang menyegarkan dengan kejutan tekstur yang menarik.,https://food-cms.grab.com/compressed_webp/items/IDITE20250510073450337268/detail/79343dbf1a774c7980c9dcec01dd6ce4_1746862490156283309.webp,2025-05-31 18:14:07
Oreo Sundae-Ice Cream,17.000,"Oreo Sundae adalah hidangan penutup yang sangat populer di Indonesia. Dengan es krim yang lembut, dingin dan renyahnya biskuit Oreo, ini adalah pilihan tepat untuk mengatasi panasnya hari.Ice Cream",https://food-cms.grab.com/compressed_webp/items/IDITE20250510073450325497/detail/72dbc4f822214344ae0a66f56dddc830_1746862490016949095.webp,2025-05-31 18:14:07
Strawberry Sundae-Ice Cream,17.000,Strawberry Sundae ini penuh dengan rasa buah stroberi yang segar dan manis. Warna merah cerahnya pun sangat menarik mata. Nikmati kelezatannya di setiap sendok.para penikmat es kirm boleh yuk cobain!,https://food-cms.grab.com/compressed_webp/items/IDITE20250510073449312349/detail/31f075027aae49a5a488a6d4cd2956a7_1746862489890620167.webp,2025-05-31 18:14:07
Mango Sundae-Ice Cream,17.000,"Mango Sundae - dengan rasa buah mangga yang matang, manis dan segar, pas buat pencinta buah mangga.para penikmat es kirm boleh yuk cobain!",https://food-cms.grab.com/compressed_webp/items/IDITE20250510073449306453/detail/3639c3243c5940efa341580e77c01412_1746862489771328465.webp,2025-05-31 18:14:07
Matcha Fiesta Sundae-Ice Cream,17.000,Matcha Fiesta Sundae - ini memiliki cita rasa matcha yang khas dan halus. Kombinasi es krim dan rasa matcha yang rasanya unik dan berbeda.para penikmat es kirm boleh yuk cobain!,https://food-cms.grab.com/compressed_webp/items/IDITE20250510073449296506/detail/5c51b496a82f4a3a820abd7b141349f1_1746862489678368143.webp,2025-05-31 18:14:07
Choco Fiesta Sundae-Ice Cream,17.000,Choco Fiesta Sundae - ini memiliki rasa cokelat yang manis dan lezat. Kelezatannya membuat kamu melupakan semua masalah.para penikmat es kirm boleh yuk cobain!,https://food-cms.grab.com/compressed_webp/items/IDITE20250510073449278836/detail/5b803ed6a4ee4c458b68e2524b3ef221_1746862489422063797.webp,2025-05-31 18:14:07
Choco Shake Shake-Ice Cream,16.000,"Sirup coklat terutama lembut, penuh rasa yang kaya!Es krim es krim menciptakan rasa yang halus dan dingin.Penambahan tea jelly menambah kejutan dan kesenangan di setiap gigitan",https://food-cms.grab.com/compressed_webp/items/IDITE20250510073449269504/detail/3a7247857291413c8c78677752ff4c29_1746862489293157529.webp,2025-05-31 18:14:07
