Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Nasgor Krengsengan Medium,27.500,1 Gelas,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000l6x-CZDUCZEHBFCCCE/detail/1a8ca11e0f7c4081b700e349a75c305a_1670844320023476071.webp,2025-05-31 18:26:27
Mie Goreng Ayam Medium,24.000,1 Gelas,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000l6x-CZDUCZEJGT5BFE/detail/d1c44c8c1b9949afac30626a9c2f22aa_1591629595004357772.webp,2025-05-31 18:26:27
Es Teh Bsr,12.500,1 Gelas,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000l6x-CZDUCZEET4AHVJ/detail/50c71763c42f41229e78f4431e0de316_1589976220658074761.webp,2025-05-31 18:26:27
Nasgor Kampung Medium,19.000,1 Gelas,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000l6x-CZDUCZEFN3CUN2/detail/e55efd673d7a47e3aeb14cb41a406db1_1657103673417521692.webp,2025-05-31 18:26:27
Nasgor Teri Medan Medium,25.800,1 Gelas,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000l6x-CZDUCZEGAJ2GRE/detail/b529548539204a4e8572884004845841_1615528477125106513.webp,2025-05-31 18:26:27
Kwetiau Seafood Jumbo,50.400,"Jeruk , Melon, Strobery",https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000l6x-CZDUCZEKAJNTFE/detail/menueditor_item_214c0d2076db4c09ba27f44768b9f78f_1718426200696476802.webp,2025-05-31 18:26:27
Nasgor Sosis Jumbo,40.000,1 Gelas,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000l6x-CZDUCZEGTGAWGA/detail/67b0b57204c147db9fc1fd6b67441cdb_1611145220968592238.webp,2025-05-31 18:26:27
Mie Goreng Seafood Jumbo,50.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000l6x-CZDUCZEJNKTDAJ/detail/a06f02f2ca584116b7887029832a1c7c_1591629591470357200.webp,2025-05-31 18:26:27
Kwetiau Seafood Jumbo,50.400,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000l6x-CZDUCZEKAJNTFE/detail/menueditor_item_214c0d2076db4c09ba27f44768b9f78f_1718426200696476802.webp,2025-05-31 18:26:27
Bihun Goreng Ayam Medium,25.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000l6x-CZDUCZEKFBBZWA/detail/a3a8e9e6b39145a4ae37c08ad536dc7f_1597304327633016691.webp,2025-05-31 18:26:27
Bihun Goreng Ayam Jumbo,44.400,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000l6x-CZDUCZEKG6WASE/detail/6f99e3acdaab4976ad58019683e0b006_1597304320117273441.webp,2025-05-31 18:26:27
Bihun Goreng Seafood Medium,28.750,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000l6x-CZDUCZEKJY2JJJ/detail/5314dad054c64657937199f462ce5c83_1589965654055102549.webp,2025-05-31 18:26:27
Bihun Goreng Seafood Jumbo,48.750,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000l6x-CZDUCZEKLTKYEE/detail/cae3bb26f7ba417a9129828b30e49e54_1589965654032439542.webp,2025-05-31 18:26:27
Mi Tek Tek Medium,31.250,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000l6x-CZDUCZEKWANZET/detail/bc1e13fb255b468588d5af8218027bb5_1661946573207505418.webp,2025-05-31 18:26:27
Mie Goreng Ayam Medium,24.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000l6x-CZDUCZEJGT5BFE/detail/d1c44c8c1b9949afac30626a9c2f22aa_1591629595004357772.webp,2025-05-31 18:26:27
Mie Goreng Ayam Jumbo,44.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000l6x-CZDUCZEJJLMBNA/detail/d441ac333c694557bf616c75eb6b78cf_1591629590908472283.webp,2025-05-31 18:26:27
Mie Goreng Seafood Medium,28.750,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000l6x-CZDUCZEJLJ6WGE/detail/2fbdf6ef2c4f4a9fbe4eb1fe87ea8e35_1591629598229092283.webp,2025-05-31 18:26:27
Mie Goreng Seafood Jumbo,50.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000l6x-CZDUCZEJNKTDAJ/detail/a06f02f2ca584116b7887029832a1c7c_1591629591470357200.webp,2025-05-31 18:26:27
Kwetiau Ayam Medium,24.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000l6x-CZDUCZEJRJNVV2/detail/051329c2053b4ab890648091ae99ddf4_1616499469623476709.webp,2025-05-31 18:26:27
Kwetiau Ayam Jumbo,44.400,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000l6x-CZDUCZEJTLD2NA/detail/67bddca1f5e84017881006a2032f332b_1616499469654734777.webp,2025-05-31 18:26:27
Kwetiau Seafood Medium,28.750,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000l6x-CZDUCZEJVKTWFA/detail/fc947606bd88472a900be0e9eb089e33_1611148683043606840.webp,2025-05-31 18:26:27
Nasgor Ayam Medium,24.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000l6x-CZDUCZEGEBV1G2/detail/b7d319bed6c041f7bbd48de90e08d479_1599711253951275419.webp,2025-05-31 18:26:27
Nasgor Ayam Jumbo,40.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000l6x-CZDUCZEGFEUURJ/detail/a25fdd0b9c87438b9518761e82f91aff_1668339480935253919.webp,2025-05-31 18:26:27
Nasgor Seafood Medium,28.750,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000l6x-CZDUCZEGLZJADA/detail/9fbd9a7c503b4f14b056f9a74197a2a6_1599718860113991318.webp,2025-05-31 18:26:27
