Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Paket Mini,34.000,"Berisikan selam mini, lenjer mini, bulat mini, kulit mini @1pcs",https://food-cms.grab.com/compressed_webp/items/IDITE2021122206480642651/detail/6-C25XAUDZGZA3JE_9022723d3171482bae5fd906ae4cce63_1684321487414026895.webp,2025-05-31 19:04:07
Selam,27.500,"9 pcs Kapal Selam Mini, sudah termasuk kuah cuko pedas dan manis siap santap",https://food-cms.grab.com/compressed_webp/items/IDITE2021122206451471543/detail/menueditor_item_3d067fa4de9d4009ab7bd0527f79326c_1746605677097042675.webp,2025-05-31 19:04:07
Selam Premium,40.500,"2 pcs Kapal Selam Premium Telur Asin, sudah termasuk kuah cuko pedas dan manis siap santap",https://food-cms.grab.com/compressed_webp/items/IDITE2021122206491029390/detail/a8d07c9630a64fe791c42d9ef3ceed1a_1668767308666739147.webp,2025-05-31 19:04:07
Lenjer,15.500,"3 pcs Otak-Otak, sudah termasuk kuah cuko pedas dan manis siap santap",https://food-cms.grab.com/compressed_webp/items/IDITE2021122206455829999/detail/6-C25XAUDZGZA3JE_3560c19638eb4fb48d02ed53048b4a7d_1684321487300771154.webp,2025-05-31 19:04:07
Kulit,15.500,"2 pcs Kapal Selam, sudah termasuk kuah cuko pedas dan manis siap santap",https://food-cms.grab.com/compressed_webp/items/IDITE2021122206464810217/detail/6-C25XAUDZGZA3JE_64536a1bf0674327b8bdb4a2af816376_1684321487466283819.webp,2025-05-31 19:04:07
Bulat,15.500,"4 pcs Lenjer, sudah termasuk kuah cuko pedas dan manis siap santap",https://food-cms.grab.com/compressed_webp/items/IDITE2021122206462143288/detail/954851533b5e49bf8d8f81c6d48489e8_1668767307136139968.webp,2025-05-31 19:04:07
Otak-otak,16.500,"4 pcs Kulit, sudah termasuk kuah cuko pedas dan manis siap santap",https://food-cms.grab.com/compressed_webp/items/IDITE2021122206484451227/detail/97d8c511134a4dc694b6fda238bc9b07_1668767308130138587.webp,2025-05-31 19:04:07
Es Kacang Merah,27.500,"4 pcs Bulat, sudah termasuk kuah cuko pedas dan manis siap santap",https://food-cms.grab.com/compressed_webp/items/IDITE2021122208390004507/detail/c2584d495a3f45beb0bb6b9bcfb730ec_1668767309177708993.webp,2025-05-31 19:04:07
Frozen Kapal Selam Mini Isi 9 pcs dengan Cuko,74.000,"2 pcs Kapal Selam Mini, 2 pcs Lenjer Mini, 2 pcs Bulat Mini, 2 pcs Kulit Mini, sudah termasuk kuah cuko pedas dan manis siap santap",https://food-cms.grab.com/compressed_webp/items/IDITE2025050708042603900/detail/menueditor_item_8cf50d17ddb648d4b3accfb6fd8289f9_1746604956579539196.webp,2025-05-31 19:04:07
Frozen Kapal Selam Premium Telur Asin isi 2 pcs dengan Cuko,78.500,"Berisikan selam mini, lenjer mini, bulat mini, kulit mini @1pcs",https://food-cms.grab.com/compressed_webp/items/IDITE2025050708020686811/detail/menueditor_item_aad1d3c0ddc24ad29e6fd3d7f19549e5_1746604568955032217.webp,2025-05-31 19:04:07
Frozen Otak - Otak isi 3 pcs dengan Cuko,48.000,"Hampers yang berisi Vacuum Pack Selam isi 2 (3 pack), Lenjer isi 4 (1 pack), Bulat isi 4 (1 pack), dan Kulit (1 pack). Sudah termasuk kuah cuko pedas dan manis siap santap. Sudah termasuk packaging dan kartu ucapan.",https://food-cms.grab.com/compressed_webp/items/IDITE2023051713115534853/detail/menueditor_item_843c24028b48409398fbb63e7c2053cb_1684744881457525779.webp,2025-05-31 19:04:07
Frozen Kapal Selam isi 2 pcs dengan Cuko,53.500,Hampers yang berisi Vacuum Pack Paket Mini isi 2 (5 pack). Sudah termasuk kuah cuko pedas dan manis siap santap. Sudah termasuk packaging dan kartu ucapan.,https://food-cms.grab.com/compressed_webp/items/IDITE2021122210031034791/detail/menueditor_item_7b2fa2a08bc748518696d9a88e9065d2_1744614171157849876.webp,2025-05-31 19:04:07
Frozen Lenjer isi 4 pcs dengan Cuko,60.000,"Hampers yang berisi Vacuum Pack Selam isi 2 (4 pack), Bulat isi 4 (1 pack), dan Kulit (1 pack). Sudah termasuk kuah cuko pedas dan manis siap santap. Sudah termasuk packaging dan kartu ucapan.",https://food-cms.grab.com/compressed_webp/items/IDITE2021122210012047764/detail/fc82415a90b845ae82cb30b79be99b8e_1668767305496142302.webp,2025-05-31 19:04:07
Frozen Kulit isi 4 pcs dengan cuko,60.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021122209595226778/detail/0def5e30acc642eaa2b1e504bb8ea512_1668767307973342678.webp,2025-05-31 19:04:07
Frozen Bulat isi 4 pcs dengan Cuko,60.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021122209590978291/detail/1dccf29cd0e84e378591c540614746f1_1668767304186417659.webp,2025-05-31 19:04:07
