Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Rose Tteokbokki Chicken,36.000,1 Rose Tteokbokki Chicken Personal + Rose Tteokbokki Sauce,https://food-cms.grab.com/compressed_webp/items/IDITE20250425070438029346/detail/47115483_ze_800_jpeg.webp,2025-05-31 18:44:06
Combo Rose Tteokbokki Chicken Burger,62.000,1 Rose Tteokbokki Chicken Burger + French Fries + 1 Medium Drink + Rose Tteokbokki Sauce,https://food-cms.grab.com/compressed_webp/items/IDITE20250425070438057710/detail/a9d02b2b_ze_800_jpeg.webp,2025-05-31 18:44:06
Rose Tteokbokki Chicken Bites,33.000,Rose Tteokbokki Chicken Bites + Rose Tteokbokki Sauce,https://food-cms.grab.com/compressed_webp/items/IDITE20250425070437152482/detail/ecbf2d49_ze_800_jpeg.webp,2025-05-31 18:44:06
Rose Tteokbokki Chicken Nugget,41.000,6pcs Rose Tteokbokki Chicken Nugget + Rose Tteokbokki Sauce,https://food-cms.grab.com/compressed_webp/items/IDITE20250425070437106542/detail/ecf9e4ab_ze_800_jpeg.webp,2025-05-31 18:44:06
Rose Tteokbokki Friend Fries,32.000,Rose Tteokbokki Friend Fries + Rose Tteokbokki Sauce,https://food-cms.grab.com/compressed_webp/items/IDITE20250425070437082969/detail/126cce84_ze_800_jpeg.webp,2025-05-31 18:44:06
Rose Tteokbokki Chicken Burger,40.000,1 Rose Tteokbokki Chicken Burger + Rose Tteokbokki Sauce,https://food-cms.grab.com/compressed_webp/items/IDITE20250425070437134197/detail/402d42e4_ze_800_jpeg.webp,2025-05-31 18:44:06
Combo Rose Tteokbokki Chicken,53.000,1 Rose Tteokbokki Chicken + 1 Rice + 1 Medium Drink + Rose Tteokbokki Sauce,https://food-cms.grab.com/compressed_webp/items/IDITE20250425070438089253/detail/60fa48a2_ze_800_jpeg.webp,2025-05-31 18:44:06
Rose Tteokbokki Sauce,7.000,Mashed Potato + Gravy Sauce,https://food-cms.grab.com/compressed_webp/items/IDITE20250429015732093386/detail/d2b1b016_ze_800_jpeg.webp,2025-05-31 18:44:06
Mashed Potato,10.000,9 pcs Nugget Non Spicy,https://food-cms.grab.com/compressed_webp/items/IDITE20250508031543019195/detail/ac139581_ze_800_jpeg.webp,2025-05-31 18:44:06
Nugget Non Spicy 9 pcs,54.000,6 pcs Nugget Spicy,https://food-cms.grab.com/compressed_webp/items/IDITE20241216033800080385/detail/c7386411_ze_800_jpeg.webp,2025-05-31 18:44:06
