Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Chicken Steak,24.405,Chicken Steak single + Mix vegetable + Potato wedges + Brown sauce,https://food-cms.grab.com/compressed_webp/items/IDITE2025041411240279589/detail/menueditor_item_bd058212c8434c56ae420e91a9bfe2f3_1744629803700192370.webp,2025-05-31 18:08:02
Double Hemat A,44.048,Chicken Steak Double + Mix vegetable + Potato wedges + Brown sauce,https://food-cms.grab.com/compressed_webp/items/IDITE2025041411533487945/detail/menueditor_item_c8d01d89264846adbe878e85a1646ac2_1744631571241384282.webp,2025-05-31 18:08:02
Double Hemat B,48.214,Beef Steak Double + Mix vegetable + Potato wedges + Brown sauce,https://food-cms.grab.com/compressed_webp/items/IDITE2025041411522017021/detail/menueditor_item_78c25597c9e44dfc861213615a28677b_1744631505249051584.webp,2025-05-31 18:08:02
paket seroe 5,32.143,Chicken steak + Mix vegetable + Potato wedges + Brown sauce inc Pudding,https://food-cms.grab.com/compressed_webp/items/IDITE2021042704373641464/detail/menueditor_item_944e83ee932b4024b0a853138f5c4d74_1744626945528611219.webp,2025-05-31 18:08:02
Double Hemat C,45.833,Chicken Steak + Beef steak + Mix vegetable + Potato wedges + Brown sauce,https://food-cms.grab.com/compressed_webp/items/IDITE2025041411505721557/detail/menueditor_item_dc2095ce32824fb5af4109ba1c16aefe_1744631323380458929.webp,2025-05-31 18:08:02
Nasi Putih,7.143,Beef Steak single +Mix vegetable + Potato wedges + Brown sauce,https://food-cms.grab.com/compressed_webp/items/6-C2BKCKU1TZE1MA-C2BUAE6ZR3XWGT/detail/459bc4b6658c4a05bb504db911888a64_1603514960585981049.webp,2025-05-31 18:08:02
Beef Steak,27.381,Beef steak + Mix vegetable + Potato wedges + Brown sauce inc Pudding,https://food-cms.grab.com/compressed_webp/items/IDITE2025041411250393196/detail/menueditor_item_c7030ce896114d7da6b9639e6c60404a_1744629873958135802.webp,2025-05-31 18:08:02
paket Seroe 6,35.714,Chicken Steak Double + Mix vegetable + Potato wedges + Brown sauce,https://food-cms.grab.com/compressed_webp/items/IDITE2021042704384313662/detail/menueditor_item_10294134fed74666914d12e294a1e43d_1744626964369184187.webp,2025-05-31 18:08:02
Double Hemat A,44.048,Beef Steak Double + Mix vegetable + Potato wedges + Brown sauce,https://food-cms.grab.com/compressed_webp/items/IDITE2025041411533487945/detail/menueditor_item_c8d01d89264846adbe878e85a1646ac2_1744631571241384282.webp,2025-05-31 18:08:02
Double Hemat B,48.214,Chicken Steak + Beef steak + Mix vegetable + Potato wedges + Brown sauce,https://food-cms.grab.com/compressed_webp/items/IDITE2025041411522017021/detail/menueditor_item_78c25597c9e44dfc861213615a28677b_1744631505249051584.webp,2025-05-31 18:08:02
Double Hemat C,45.833,Beef steak double + Mix vegetable + Potato wedges + Brown sauce,https://food-cms.grab.com/compressed_webp/items/IDITE2025041411505721557/detail/menueditor_item_dc2095ce32824fb5af4109ba1c16aefe_1744631323380458929.webp,2025-05-31 18:08:02
Odading C,52.381,Chicken steak + Beef Steak + Mix vegetable + Potato wedges + Brown sauce,https://food-cms.grab.com/compressed_webp/items/IDITE2025041411470448705/detail/menueditor_item_8c9f997d81774ba196f490c33c4c4e1b_1744631171802795997.webp,2025-05-31 18:08:02
Odading B,48.810,Chicken double steak + Mix vegetable + Potato wedges + Brown sauce,https://food-cms.grab.com/compressed_webp/items/IDITE2025041411455078381/detail/menueditor_item_e431fa3b408246db83275457f2d550ee_1744631082027042473.webp,2025-05-31 18:08:02
Odading A,47.619,Beef Paprika Blackpaper flavour with rice,https://food-cms.grab.com/compressed_webp/items/IDITE2025041411441303678/detail/menueditor_item_ca329710f66a41369f6c5d032b97530c_1744630902495325875.webp,2025-05-31 18:08:02
Paket Seroe 7,30.357,Chicken steak single + Mix vegetable + Potato wedges + Brown sauce,https://food-cms.grab.com/compressed_webp/items/IDITE2025041411215590868/detail/menueditor_item_d8c829a8ca604780bcfd52a6dc1738a1_1744629653057267435.webp,2025-05-31 18:08:02
Paket Seroe 1,29.167,Beef steak single + Mix vegetable + Potato wedges + Brown sauce,https://food-cms.grab.com/compressed_webp/items/6-C2BKCKU1TZE1MA-C2BUAE6ZJCDVHA/detail/menueditor_item_d12820a99cdc42b9baffd85185a5f80c_1744626850441914731.webp,2025-05-31 18:08:02
paket seroe 2,32.143,Spaghetti Chicken bolognese with cheese,https://food-cms.grab.com/compressed_webp/items/6-C2BKCKU1TZE1MA-C2BUAE6ZLVAKAA/detail/menueditor_item_fa15ec7b430e4f849986f1ffedda672c_1744626872556447814.webp,2025-05-31 18:08:02
paket seroe 3,27.976,Chicken Paprika Blackpaper flavour with rice,https://food-cms.grab.com/compressed_webp/items/6-C2BKCKU1TZE1MA-C2BUAE6ZN3WFT2/detail/menueditor_item_f872587a84dc429aad78f2dccc0dda83_1744626891870908170.webp,2025-05-31 18:08:02
paket seroe 4,28.571,Chicken steak + Mix vegetable + Potato wedges + Brown sauce inc Pudding,https://food-cms.grab.com/compressed_webp/items/6-C2BKCKU1TZE1MA-C2BUAE61E74UUA/detail/menueditor_item_6174b36449a94d2dbcd40cc688f248a2_1744626912420800612.webp,2025-05-31 18:08:02
paket seroe 5,32.143,Beef steak + Mix vegetable + Potato wedges + Brown sauce inc Pudding,https://food-cms.grab.com/compressed_webp/items/IDITE2021042704373641464/detail/menueditor_item_944e83ee932b4024b0a853138f5c4d74_1744626945528611219.webp,2025-05-31 18:08:02
paket Seroe 6,35.714,Frenchfries + fish ball and sosis with saus cheese and mayonaise,https://food-cms.grab.com/compressed_webp/items/IDITE2021042704384313662/detail/menueditor_item_10294134fed74666914d12e294a1e43d_1744626964369184187.webp,2025-05-31 18:08:02
Mie Gondez Chicken Paprika,21.429,Beef Paprika Blackpaper flavour with rice,https://food-cms.grab.com/compressed_webp/items/6-C2BKCKU1TZE1MA-C2BUAFABAXCAGJ/detail/menueditor_item_ac5a5b8384b848329a31af9602df25e9_1744626493958211243.webp,2025-05-31 18:08:02
Mie Gondez Blackpaper,21.429,Chicken Paprika Blackpaper flavour with rice,https://food-cms.grab.com/compressed_webp/items/6-C2BKCKU1TZE1MA-C2BUAFAARTXYNX/detail/menueditor_item_1d94459e71714a4db89ec305a182e0c5_1744626573585212151.webp,2025-05-31 18:08:02
Mie Gondez Barbeque,21.429,Spagetty with Chicken bolognese with cheese,https://food-cms.grab.com/compressed_webp/items/6-C2BKCKU1TZE1MA-C2BUAFAAHGBAEE/detail/menueditor_item_79a28c88e5d147dca751d46498a3ee8a_1744626689491471025.webp,2025-05-31 18:08:02
Air mineral 600ml,7.143,Beef Steak single +Mix vegetable + Potato wedges + Brown sauce,https://food-cms.grab.com/compressed_webp/items/IDITE2023070408522639765/detail/acb4645a3d2e4d32b0052c25bdf583e4_1698159248386649585.webp,2025-05-31 18:08:02
Fruit Tea,8.333,Chicken Steak single + Mix vegetable + Potato wedges + Brown sauce,https://food-cms.grab.com/compressed_webp/items/6-C2BKCKU1TZE1MA-C2BUAFAAAN4AJE/detail/bbee9bbe1e3c4749a9392532b22a0c9c_1660112916490668577.webp,2025-05-31 18:08:02
Teh Botol,8.333,1 Double Tenderloin + 1 Puding + 1 Minuman : Orange Juice / Ice Tea (optional),https://food-cms.grab.com/compressed_webp/items/6-C2BKCKU1TZE1MA-C2BUAFAAELJCAE/detail/61d0236d0bfb4b2084518e65dbc0358e_1649152862952006862.webp,2025-05-31 18:08:02
Happy sunset,14.286,2 Double Mix Hotplate + 2 Minuman : Air Mineral/Tea (Ice/Hot)/Lemon Tea/Juice Orange (Optional),https://food-cms.grab.com/compressed_webp/items/IDITE2021042705205125501/detail/menueditor_item_f9a6a6d7cc5b429fa0c3f5a2675aea78_1619500842112436989.webp,2025-05-31 18:08:02
Happy sunrise,14.286,2 Double Tenderloin Hotplate + 2 Minuman : Air Mineral/Tea (Ice/Hot)/Lemon Tea/Juice Orange (Optional),https://food-cms.grab.com/compressed_webp/items/6-C2BKCKU1TZE1MA-C2BUAE63JAE1EE/detail/menueditor_item_fbf81f276e714b5b949409bdd101f8ee_1619500754292651636.webp,2025-05-31 18:08:02
Deep blue,14.286,2 Tenderloin Hotplate+ 2 Minuman : Air Mineral/Tea (Ice/Hot)/Lemon Tea/Juice Orange (Optional),https://food-cms.grab.com/compressed_webp/items/IDITE2021042705181608284/detail/menueditor_item_e2b23df0479e4b338e38ce18c7366c21_1619500888861188042.webp,2025-05-31 18:08:02
Yaku Bubble Mint,14.286,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/6-C2BKCKU1TZE1MA-C2B1NP41G751AA/detail/menueditor_item_c8f7e6f3007f413baf0fcce13787cac6_1619500404665472479.webp,2025-05-31 18:08:02
Yaku Strawberry Mint,14.286,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/6-C2BKCKU1TZE1MA-C2BUAE63NEKBMA/detail/menueditor_item_37285b6e27e4494994b757a8c01f6205_1619500432367716110.webp,2025-05-31 18:08:02
Yaku Leci Mint,14.286,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/6-C2BKCKU1TZE1MA-C2BUAE63KGCZCN/detail/menueditor_item_422f8fe230c84997841b4c53581aeb75_1619500465676528396.webp,2025-05-31 18:08:02
Juice Orange,9.524,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/6-C2BKCKU1TZE1MA-C2BUAE63RANGWE/detail/208ac1bd272d43228b8dc1a0102e75e1_1605005122708514942.webp,2025-05-31 18:08:02
Lemon Tea Ice,9.524,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/6-C2BKCKU1TZE1MA-C2BUAE63GCC2LX/detail/15d7e2f5a59143589021f0367d69e048_1603461035290755781.webp,2025-05-31 18:08:02
Ice Tea,7.143,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/6-C2BKCKU1TZE1MA-C2BUAE62VPKFMA/detail/2be2c5d38ad840a29f16cd8940b6148b_1603590006286668218.webp,2025-05-31 18:08:02
Es Batu,1.190,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/6-C2BKCKU1TZE1MA-C2BUAE62GLMCEA/detail/8a54f1d5ecdd4238ba2d550ef8cfda3a_1603697768252519229.webp,2025-05-31 18:08:02
Coffeemix Ice,7.150,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/6-C2BKCKU1TZE1MA-C2BUAE62ALB1VJ/detail/f4439956dda547f8941c1786a43cc9e7_1609231137927381742.webp,2025-05-31 18:08:02
Ice Cappuccino,14.300,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/6-C2BKCKU1TZE1MA-C2BUAE62TPV2TA/detail/4c9d93ef77594c108e3a201836af8d21_1606462714048778551.webp,2025-05-31 18:08:02
puding 1 rasa,4.167,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023070408285137365/detail/6-C2BKCKU1TZE1MA_76f454d412e8411ab22987f6ae6e5155_1706086446363605053.webp,2025-05-31 18:08:02
Puding 2 Rasa,5.357,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/6-C2BKCKU1TZE1MA-C2BUAE61R3TBEJ/detail/menueditor_item_224f80ceb9d841e3b042042bd979530c_1612782668851645782.webp,2025-05-31 18:08:02
kentang plate,13.095,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021042704433613527/detail/menueditor_item_09ef67368efc46328cb5c444a282a1af_1619501113313470285.webp,2025-05-31 18:08:02
My Kentang,13.690,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/6-C2BKCKU1TZE1MA-C2BUAE61KBLXCA/detail/menueditor_item_bed1243e9b7c4192aff855239d44a491_1744626800803237052.webp,2025-05-31 18:08:02
Ff,13.095,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/6-C2BKCKU1TZE1MA-C2BUAE61G6M2VT/detail/menueditor_item_144be1f06b0c4545bca9feca5b1ef5d8_1744626779910373018.webp,2025-05-31 18:08:02
Cheesy Fries,19.048,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021042807375160355/detail/menueditor_item_495b58c75d48480aaffb88fb150d1e37_1744630587960339573.webp,2025-05-31 18:08:02
Beef Paprika,26.190,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025041411352587046/detail/menueditor_item_752531c5983c4f82ac90be2a1fc95ebb_1744630450678700249.webp,2025-05-31 18:08:02
Chicken Paprika,23.810,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025041411334686171/detail/menueditor_item_492fd30f0b9a4266973e12351669b422_1744630335883240393.webp,2025-05-31 18:08:02
Spagetty,22.024,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025041411264048024/detail/menueditor_item_a6f5f402d30c4767b8b97206c4a5b5a7_1744629951669164503.webp,2025-05-31 18:08:02
Beef Steak,27.381,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025041411250393196/detail/menueditor_item_c7030ce896114d7da6b9639e6c60404a_1744629873958135802.webp,2025-05-31 18:08:02
Chicken Steak,24.405,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025041411240279589/detail/menueditor_item_bd058212c8434c56ae420e91a9bfe2f3_1744629803700192370.webp,2025-05-31 18:08:02
Nasi Putih,7.143,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/6-C2BKCKU1TZE1MA-C2BUAE6ZR3XWGT/detail/459bc4b6658c4a05bb504db911888a64_1603514960585981049.webp,2025-05-31 18:08:02
Double Mixed Hotplate,40.476,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/6-C2BKCKU1TZE1MA-C2BUAE61DABDKE/detail/menueditor_item_7cda399d78194816a762b598f566a33d_1744626997956920785.webp,2025-05-31 18:08:02
