Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Chicken Steak,25.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250122040908014449/detail/b418e9c0_250109090753.webp,2025-05-31 18:29:09
Beef Steak,31.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250122040908091424/detail/f45ef997_250109090730.webp,2025-05-31 18:29:09
Chicken Wings,25.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250122040911049056/detail/4760e593_250109091004.webp,2025-05-31 18:29:09
French Fries Snack,17.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250122040912044537/detail/d0dcd31b_250109091018.webp,2025-05-31 18:29:09
Kaarage Snack,19.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250122040913053381/detail/3f4433c2_250109091036.webp,2025-05-31 18:29:09
Beef Bolognese Spaghetti,24.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250122040921019438/detail/f1f14d28_250109090916.webp,2025-05-31 18:29:09
Yakult Soda,12.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250122040925010961/detail/f72a96d1_250123093646.webp,2025-05-31 18:29:09
Pinkish Soda,12.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250122040927027138/detail/76461d37_250123093633.webp,2025-05-31 18:29:09
Chicken Steak,25.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250122040908014449/detail/b418e9c0_250109090753.webp,2025-05-31 18:29:09
Beef Steak,31.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250122040908091424/detail/f45ef997_250109090730.webp,2025-05-31 18:29:09
Bestie Steak,17.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250122040909098666/detail/7e345bd5_250109090741.webp,2025-05-31 18:29:09
Chicken Wings,25.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250122040911049056/detail/4760e593_250109091004.webp,2025-05-31 18:29:09
French Fries Snack,17.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250122040912044537/detail/d0dcd31b_250109091018.webp,2025-05-31 18:29:09
Kaarage Snack,19.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250122040913053381/detail/3f4433c2_250109091036.webp,2025-05-31 18:29:09
Cheese AddOn,5.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250122040921019438/detail/f1f14d28_250109090916.webp,2025-05-31 18:29:09
Nasi,6.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250122040923011691/detail/d6088c95_250109090901.webp,2025-05-31 18:29:09
BBQ Steak AddOn,5.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250122040922016045/detail/6850c785_250109090930.webp,2025-05-31 18:29:09
BP Steak AddOn,5.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250122040925010961/detail/f72a96d1_250123093646.webp,2025-05-31 18:29:09
Mushroom Steak AddOn,5.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250122040927027138/detail/76461d37_250123093633.webp,2025-05-31 18:29:09
Beef Bolognese Spaghetti,24.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250122040926025791/detail/9e560f9b_250123093619.webp,2025-05-31 18:29:09
Korean Spaghetti,27.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250519033551014658/detail/dbc2cbe2_250517103129.webp,2025-05-31 18:29:09
Chicken Bolognese Spaghetti,24.000,Deskripsi tidak ditemukan,Gambar tidak ditemukan,2025-05-31 18:29:09
Yakult Soda,12.000,Deskripsi tidak ditemukan,Gambar tidak ditemukan,2025-05-31 18:29:09
Pinkish Soda,12.000,Deskripsi tidak ditemukan,Gambar tidak ditemukan,2025-05-31 18:29:09
Air-Mineral,6.000,Deskripsi tidak ditemukan,Gambar tidak ditemukan,2025-05-31 18:29:09
Melon Soda,12.000,Deskripsi tidak ditemukan,Gambar tidak ditemukan,2025-05-31 18:29:09
Chicken Steak + Spaghetti Bolognese,35.000,Deskripsi tidak ditemukan,Gambar tidak ditemukan,2025-05-31 18:29:09
