Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Iced Jasmine Tea Jumbo,15.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20241203073726042736/detail/menueditor_item_568ad3449b3a4073a7ebfa48fb545f80_1733453927773339763.webp,2025-05-31 18:52:48
Soto Betawi,60.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20241203073721012823/detail/menueditor_item_5967db6c813344e0a849c013c5d142df_1747377669319828501.webp,2025-05-31 18:52:48
Mendoan Ala Tongtji,29.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20241203073714018633/detail/menueditor_item_690a3524c14a4814aac483a736d8bd6c_1747376930479019425.webp,2025-05-31 18:52:48
Nasi Goreng Komplit,63.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20241203073719078523/detail/menueditor_item_10e502158ad14952aeb70175cc103fd6_1747377554782499438.webp,2025-05-31 18:52:48
Nasi Goreng Gila,52.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20241203073720029011/detail/menueditor_item_7fc22222c99449658b787fee96faca89_1747377598763537172.webp,2025-05-31 18:52:48
Singkong Santan Gurih,29.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20241203073717034034/detail/menueditor_item_aa8ee55caacb4aa8b3c1f9017f8add55_1747377355976095298.webp,2025-05-31 18:52:48
Nusantara Platters,45.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20241203073715054933/detail/menueditor_item_833859d28aec4a35a23f05fb982518e5_1747377137376354111.webp,2025-05-31 18:52:48
Cireng Crispy,32.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20241203073715036941/detail/menueditor_item_5fc316a3a71743998ced26bdfeb8ce5b_1747377078479451865.webp,2025-05-31 18:52:48
Es Dawet Malaka,37.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022815532109806/detail/menueditor_item_a2924debb78c4c0fa6d4ec38ccd4af87_1740757995193457327.webp,2025-05-31 18:52:48
Es Susu Sekoteng,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022815543655542/detail/menueditor_item_6a131810da084315b33fbe252851eb34_1740758069543308951.webp,2025-05-31 18:52:48
Wedang Susu Sekoteng,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022815541903299/detail/menueditor_item_139438d609d04008adaab06d76e22483_1740758052255348473.webp,2025-05-31 18:52:48
Es Sekoteng,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022815535971617/detail/menueditor_item_ff1d5a1f09c14c5ca8665d16f138928e_1740758031920219468.webp,2025-05-31 18:52:48
Wedang Sekoteng,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022815533822721/detail/menueditor_item_f4e9bbb8e6f240fca3a08bed3564b416_1740758012079723955.webp,2025-05-31 18:52:48
Ginger Candy,20.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022807200925731/detail/menueditor_item_90ab62fcae864b11b2292815087e181c_1740727202369231174.webp,2025-05-31 18:52:48
Gulas Tea,20.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022807194440855/detail/menueditor_item_6b88d4a346b040c8986f25aac8a6d5a8_1740727164753972658.webp,2025-05-31 18:52:48
