Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Combo B,47.200,gyoza mentai 2 pcs + tsukene teriyaki 3 pcs,https://food-cms.grab.com/compressed_webp/items/IDITE2024122007394128820/detail/menueditor_item_d85a1903cf8c403b8ede2f279d22feb0_1734680342142670398.webp,2025-05-31 19:01:08
Combo A,39.200,gyoza mentai 2 pcs + kamaboko,https://food-cms.grab.com/compressed_webp/items/IDITE2024122007380456831/detail/menueditor_item_0716cddad39740af9863cf6dcc501c09_1734680143246160933.webp,2025-05-31 19:01:08
B1G1 Yoco Karage Mentai,48.375,sudah dapat 2 porsi taco karage mentai/BBQ (bisa pilih),https://food-cms.grab.com/compressed_webp/items/IDITE2024051307251169858/detail/menueditor_item_f8202166eed14217971ee68c4fe8bf2e_1715585071301464635.webp,2025-05-31 19:01:08
Paket Hemat 1,63.800,spaghetti mentai smoke beef + taco karage mentai + minum,https://food-cms.grab.com/compressed_webp/items/IDITE2024051307211006844/detail/menueditor_item_23af346527af45ba9810906076934be5_1715584710954799411.webp,2025-05-31 19:01:08
Paket Hemat 2,64.000,spaghetti mentai katsu + taco karage mentai + minum,https://food-cms.grab.com/compressed_webp/items/IDITE2024051307240644008/detail/menueditor_item_5da8a8d3adb34c378a1fa2369972deb3_1715584908623431567.webp,2025-05-31 19:01:08
Kamaboko Mentai,30.400,fried kekian dengan sauce mentai,https://food-cms.grab.com/compressed_webp/items/IDITE2024122007344898052/detail/menueditor_item_fe77d58c68c54ca6a426ee4ac19603e5_1734680084596607280.webp,2025-05-31 19:01:08
Gyoza Mentai,34.400,gyoza goreng isi 6 diberi sauce mentai lezat,https://food-cms.grab.com/compressed_webp/items/IDITE2024080904225142569/detail/menueditor_item_297cdca96b2142eb900381c27137d8e6_1723177341039507902.webp,2025-05-31 19:01:08
Mac n Mentai Katsu,35.700,macaroni bolognese dengan sauce mentai di atasnya dengan toping katsu,https://food-cms.grab.com/compressed_webp/items/IDITE2024080904215840477/detail/menueditor_item_86424dbcefab4761ba2f8533a24c4eb4_1723177286391752018.webp,2025-05-31 19:01:08
Gyoza Chili Oil,34.400,gyoza goreng isi 6 diberi chili oil,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C6LZTBWVC6NJME5796.webp,2025-05-31 19:01:08
Spaghetti Mentai Katsu,35.700,spaghetti bolognese dengan tambahan sauce mentai di atasnya dg toping katsu,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C6LZSFA2V7VCRA4701.webp,2025-05-31 19:01:08
Spaghetti Mentai Smoked Beef,34.300,spaghetti bolognese dg tambahan sauce mentai di atasnya diberi smoked beef,https://food-cms.grab.com/compressed_webp/items/IDITE2024100205295650093/detail/menueditor_item_60b6b4d19ca34076ab0bddb4c3a38f79_1734494018620418111.webp,2025-05-31 19:01:08
Rice Bowl Chicken Katsu,31.500,"berisi nasi putih, chicken katsu, crispy veggies, dan pilihan sauce Gambar hanya untuk referensi",https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C6LZTT5UTT5ATA8975.webp,2025-05-31 19:01:08
Rice Bowl Chicken Karage,31.500,"berisi nasi putih, chicken karage, crispy veggies, dan pilihan sauce Gambar hanya untuk referensi",https://food-cms.grab.com/compressed_webp/items/IDITE2023081508014128261/detail/menueditor_item_2b64037c89314092b9df17ebdb57f56f_1692086478655589320.webp,2025-05-31 19:01:08
