Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
BUNDLING PUKIS PALM AREN,51.500,"- PUKIS JADUL camilan tradisional dengan resep kuno BAKPO NAMPOL rasa original dengan 6 topping varian rasa unik. Rasa : sangat empuk, gurih, kruncy dan manis. Harga : 5 pcs",https://food-cms.grab.com/compressed_webp/items/IDITE2025051805010201799/detail/menueditor_item_f3089bdef3a048bc8cb03ec8f23aff98_1747544378054686400.webp,2025-06-01 09:02:42
PUKIS JADUL VARIAN TOPPING,28.500,"PUKIS JADUL camilan tradisional dengan resep kuno BAKPO NAMPOL rasa original tanpa topping varian rasa unik. Rasa : sangat empuk, gurih, kruncy dan manis. Tersedia : kukus / panggang Harga : 6 pcs",https://food-cms.grab.com/compressed_webp/items/IDITE2024051102520791170/detail/menueditor_item_b9f9e2010f214994b046effda3628794_1738919832120517326.webp,2025-06-01 09:02:42
PUKIS JADUL VARIAN ORIGINAL,24.500,- MINIPAO : Bakpo uk sedang tepung biasa/ tepung gandum.Uk 8x8 cm berat 35-40gr.Isi 1/4 dari bakpo premium / gandum. Filling : abon sapi Harga : 1 pcs,https://food-cms.grab.com/compressed_webp/items/IDITE2024051102490171253/detail/menueditor_item_568d1472517d40838221089ee987b51e_1738919773373778733.webp,2025-06-01 09:02:42
MINIPO ABON ORI,10.500,- MINIPAO : Bakpo uk sedang tepung biasa/ tepung gandum. Uk 8x8 cm berat 35-40gr. Isi 1/4 dari bakpo premium / gandum. Filling : daging cincang bumbu bolognese Harga : 1 pcs,https://food-cms.grab.com/compressed_webp/items/IDITE2025052404210028984/detail/menueditor_item_459fa9c7402b412a9f800d90caa34c57_1748096656506903029.webp,2025-06-01 09:02:42
MINIPO BEEF BALOGNESE,15.000,MINIPAO : Bakpo uk sedang tepung biasa/ tepung gandum. Uk 8x8 cm berat 35-40gr. Isi 1/4 dari bakpo premium / gandum. Filling : greeantea Harga : 1 pcs,https://food-cms.grab.com/compressed_webp/items/IDITE2025041407073364472/detail/menueditor_item_0e94aac7274f4a66bce7feb3ef502ded_1747540272919737881.webp,2025-06-01 09:02:42
MINIPO GREENTEA,7.000,MINIPAO : Bakpo uk sedang tepung biasa/ tepung gandum. Uk 8x8 cm berat 35-40gr. Isi 1/4 dari bakpo premium / gandum. Filling : daging cincang Harga : 1 pcs,https://food-cms.grab.com/compressed_webp/items/IDITE2025032306284242293/detail/menueditor_item_f2bdc760e8014d82a6c0d6745170644e_1743781299610478673.webp,2025-06-01 09:02:42
MINIPAO MEAT LOVERS,10.500,- MINIPAO : Bakpo uk sedang tepung biasa/ tepung gandum. Uk 8x8 cm berat 35-40gr. Isi 1/4 dari bakpo premium / gandum. Filling : banana Harga : 1 pcs,https://food-cms.grab.com/compressed_webp/items/IDITE2025022403305828140/detail/menueditor_item_11ba9330df694637abcbee0b089dec56_1743781395111216688.webp,2025-06-01 09:02:42
MINIPAO BANANA,7.000,- MINIPAO : Bakpo uk sedang tepung biasa/ tepung gandum. Uk 8x8 cm berat 35-40gr. Isi 1/4 dari bakpo premium / gandum. Filling : selain rasberi Harga : 1 pcs,https://food-cms.grab.com/compressed_webp/items/IDITE2025021903401744890/detail/menueditor_item_d679e9c53a8a426e8b0c65546d62fd5e_1739939160333321912.webp,2025-06-01 09:02:42
MINIPAO RASBERY,7.000,- MINIPAO : Bakpo uk mini bisa tepung biasa Ukuran 8x8 cm berat mulai 35-40gr. Isi 1/4 dari bakpo premium / gandum. Filling : k. hijau Rasa : manis kacang hijau lembut Tersedia : kukus / panggang Harga : 1 pcs,https://food-cms.grab.com/compressed_webp/items/IDITE2025021903342889047/detail/menueditor_item_3061d5afbb124e31acd3c6374da0d708_1739939133702950634.webp,2025-06-01 09:02:42
MINIPAO K. HIJAU,7.000,- MINIPAO : Bakpo uk mini bisa tepung biasa tanpa gula Ukuran 8x8 cm berat mulai 35-40gr. Isi 1/4 dari bakpo premium / gandum. Filling : kornet dan sosis kenzeler dengan saus tomat dan topping paperoni dan keju moza Rasa : gurih enak Tersedia : kukus / panggang Harga : 1 pcs,https://food-cms.grab.com/compressed_webp/items/IDITE2024111704003859177/detail/menueditor_item_062fd1be14c843aab51476a7b7fb265c_1739010460038584110.webp,2025-06-01 09:02:42
