Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Spicy Caesar Wrap,60.000,"Mix Green, Grilled Chicken, Smoked Beef, Omega 3 Egg, Parmesan, Cracker, Spicy Caesar Dressing",https://food-cms.grab.com/compressed_webp/items/IDITE2023091804411909583/detail/menueditor_item_164094057cf74ec6b6431255e33a9d3e_1695012046142452321.webp,2025-05-31 19:11:52
Waldorf Chicken Bowl,65.000,"Mix Green, Rocket, Celery, Onion, Grilled Chicken, Cherry Tomatoes, Grape, Feta, Candied Walnut, Quinoa, Cracker, Balsamic Vinaigrette Dressing",https://food-cms.grab.com/compressed_webp/items/6-CY6FJJ5YBF53NN-CY6FJJ5YVCAXGJ/detail/1701254e7fce4026910cb7bf1d102ddd_1679277328802473195.webp,2025-05-31 19:11:52
Tasty Tuna,56.000,"Mix Greens, Kale, Chicken Cajun, Smoked Beef, Egg, Corn, Onion, Cherry Tomatoes, Garlic Crouton, Spicy Thousand Island Dressing",https://food-cms.grab.com/compressed_webp/items/IDITE2024092003234286478/detail/menueditor_item_b4d1d8c1baad4be08db220aa5910e2be_1733551165890197498.webp,2025-05-31 19:11:52
Cajun Chicken Wrap,65.000,"Mix Green, Grilled Chicken, Smoked Beef, Omega 3 Egg, Parmesan, Cracker, Spicy Caesar Dressing",https://food-cms.grab.com/compressed_webp/items/IDITE2020101911534370383/detail/07d499e7209c441682f357d8f2b1f361_1679027668111341892.webp,2025-05-31 19:11:52
Spicy Caesar Bowl,60.000,"Mix Green, Rocket, Onion, Carrot, Chicken Spice, Smoked Beef, Egg, Parmesan, Cherry Tomatoes, Fried Garlic, Cracker, Sweet & Sour Dressing",https://food-cms.grab.com/compressed_webp/items/IDITE2023091804400513669/detail/menueditor_item_ac2adf30680446549054d1edcd8353a1_1695011952593778790.webp,2025-05-31 19:11:52
Caesar Crunch,52.000,"Green Apple, Carrot, Lemon, Pineapple",https://food-cms.grab.com/compressed_webp/items/IDITE2024092003222595756/detail/menueditor_item_c81932567bd3421494df5f38afb133e3_1733551191863577717.webp,2025-05-31 19:11:52
Happy Garden Bowl,65.000,"Green Apple, Carrot, Lemon, Pineapple",https://food-cms.grab.com/compressed_webp/items/6-CY6FJJ5YBF53NN-CY6FJJ5YPEADJN/detail/menueditor_item_a7b88fd5fec940a28170cd63c3512393_1579146290213772859.webp,2025-05-31 19:11:52
Thirsty 4 Detox,38.000,"Apple, Pineapple, Orange, Carrot, Ginger",https://food-cms.grab.com/compressed_webp/items/IDITE2021010509132494823/detail/menueditor_item_a5ce19188f764a7c84abf68d4b011fcc_1614935187713295292.webp,2025-05-31 19:11:52
Naughty Mentai,65.000,"Apple, Pineapple, Cucumber, Spinach",https://food-cms.grab.com/compressed_webp/items/IDITE2025032407111986368/detail/menueditor_item_d7a3c4832632441c87470d603d38a3ad_1742800267295833189.webp,2025-05-31 19:11:52
Patty Party,65.000,"Apple, Carrot, Beetroot,Lemon",https://food-cms.grab.com/compressed_webp/items/IDITE2025032407102186864/detail/menueditor_item_558751c23f574eaf9dacadcfee2f2a1a_1742800201691100304.webp,2025-05-31 19:11:52
Zesty Shrimp,60.000,"Apple, Pineapple, Turmeric",https://food-cms.grab.com/compressed_webp/items/IDITE2024092003242115320/detail/menueditor_item_866806e716514d15866a39b1946b5823_1733551145935110936.webp,2025-05-31 19:11:52
Tasty Tuna,56.000,Minuman sehat berbahan dasar kedelai dan teh hitam. Deskripsi ini dibuat oleh AI,https://food-cms.grab.com/compressed_webp/items/IDITE2024092003234286478/detail/menueditor_item_b4d1d8c1baad4be08db220aa5910e2be_1733551165890197498.webp,2025-05-31 19:11:52
Hearty Hummus,56.000,"Mix Green, Grilled Chicken, Smoked Beef, Omega 3 Egg, Parmesan, Cracker, Spicy Caesar Dressing",https://food-cms.grab.com/compressed_webp/items/IDITE2024092003230836433/detail/menueditor_item_8e61b0d565ca43ffb54a81d0dd14c0b2_1733551180250203682.webp,2025-05-31 19:11:52
