Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Buy 3 Get 1,72.000,"Pilih 3 Minuman Beans of The Champion Series, GRATIS 1 Americano ukuran regular",https://food-cms.grab.com/compressed_webp/items/IDITE20250511181048017103/detail/3e5fe373_912c3192d5a05f3.webp,2025-05-31 19:17:53
Buy 1 Get 1 Caramel Macchiato,57.000,Special Price! Beli 1 Gratis 1 Caramel Macchiato ukuran Large,https://food-cms.grab.com/compressed_webp/items/IDITE20250324032927014565/detail/7d8509d5_63840b455be069c.webp,2025-05-31 19:17:53
Buy 3 Get 4 Kopi Susu Black Aren,70.000,Special Price! Beli 3 dapat 4 Kopi Susu Black Aren ukuran Regular,https://food-cms.grab.com/compressed_webp/items/IDITE20250324032928014048/detail/8b421c92_fb7efc8d3c25fb8.webp,2025-05-31 19:17:53
Kopi Kenangan Mantan,22.000,"Kopi, Susu, & Gula Aren",https://food-cms.grab.com/compressed_webp/items/IDITE20240613072221015567/detail/1da882cd_58d1c4990e04154.webp,2025-05-31 19:17:53
Creamy Aren Latte,24.000,"Perpaduan espresso, susu creamy dan gula aren asli",https://food-cms.grab.com/compressed_webp/items/IDITE20240809083203067400/detail/fd822983_5ba64860645e7d5.webp,2025-05-31 19:17:53
Milo Dinosaurus,23.000,Susu Milo dengan taburan bubuk Milo,https://food-cms.grab.com/compressed_webp/items/IDITE20240602163109051453/detail/e072457e_f0aa0a278b768ba.webp,2025-05-31 19:17:53
Americano,20.000,Espresso dan Air Mineral,https://food-cms.grab.com/compressed_webp/items/IDITE20240602162849046953/detail/d7574e1a_234fa56354a69b8.webp,2025-05-31 19:17:53
Cappuccino,24.000,"Espresso, Susu Steamed, Buih Susu",https://food-cms.grab.com/compressed_webp/items/IDITE20240602155311014090/detail/b06779ed_9f9ef2838e7078e.webp,2025-05-31 19:17:53
Kopi Kenangan Mantan,22.000,"Kopi, Susu, & Gula Aren",https://food-cms.grab.com/compressed_webp/items/IDITE20250101235851015105/detail/1da882cd_58d1c4990e04154.webp,2025-05-31 19:17:53
Avocado Coffee,34.000,Rasakan kelembutan Alpukat dipadu dengan espresso di dalam minuman manismu!,https://food-cms.grab.com/compressed_webp/items/IDITE20240602155325016135/detail/3c042f38_45b0acee9f86a96.webp,2025-05-31 19:17:53
Kenangan Milk Tea,21.000,"Resep orisinil milk tea yang famous, pasti langsung akrab buat siapa saja",https://food-cms.grab.com/compressed_webp/items/IDITE20240602163049105424/detail/3537ec10_b3344f44b2fcda5.webp,2025-05-31 19:17:53
