Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Black Tea Soya,38.000,"Silky Beancurd, Ginger, and Roasted Almond",https://food-cms.grab.com/compressed_webp/items/IDITE2023123007510234423/detail/menueditor_item_a1c557a64c50418f9329c56c8b3d8db3_1703924239708422792.webp,2025-05-31 19:20:32
500ml Classic Original Soya,35.000,"Silky Beancurd, Red Bean & Matcha Sauce",https://food-cms.grab.com/compressed_webp/items/IDITE2024060613184208178/detail/d1745db9437344009a0ba2c7a2667308_1741743429503615246.webp,2025-05-31 19:20:32
500ml Choco Soya,52.000,"Silky Beancurd, Grassjelly, Brown Sugar Boba Jelly, Earl Grey Sauce",https://food-cms.grab.com/compressed_webp/items/IDITE2024060613200985392/detail/b9d53c4dedc84ceaa424ef5246609555_1741743486505981390.webp,2025-05-31 19:20:32
250ml Classic Original Soya,20.000,"Silky Beancurd, Grass Jelly, Red Bean, Coconut Jelly, Roasted Almond & Matcha/Black Sesame Sauce",https://food-cms.grab.com/compressed_webp/items/IDITE2024060613154307559/detail/menueditor_item_7d606a75b4784a8790360d52898e8699_1722486595846940350.webp,2025-05-31 19:20:32
Grass Jelly Soya,27.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20231229132715051030/detail/menueditor_item_34d846da970e46b1ae616e9c4235148d_1703923992304431378.webp,2025-05-31 19:20:32
Classic Original Soya,22.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20231229132715011474/detail/menueditor_item_8ffc1ec0f27746b18f37a5505c2c2c5d_1703923830226047809.webp,2025-05-31 19:20:32
Strawberry Soya,34.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023123007512437222/detail/menueditor_item_613a618f9eeb458da53c4056c3dfbb6d_1703924163901600657.webp,2025-05-31 19:20:32
Silky Beancurd Soya,27.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20231229132715061380/detail/menueditor_item_84e6262ccb934c3ab5371876618d8288_1703924060981767656.webp,2025-05-31 19:20:32
Classic Original Soya,22.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20231229132715011474/detail/menueditor_item_8ffc1ec0f27746b18f37a5505c2c2c5d_1703923830226047809.webp,2025-05-31 19:20:32
Ginger Soya,24.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023123007493078551/detail/menueditor_item_05b30697fb4040cd88ef017444c3c81f_1703923965487392873.webp,2025-05-31 19:20:32
Silky Beancurd Soya,27.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20231229132715061380/detail/menueditor_item_84e6262ccb934c3ab5371876618d8288_1703924060981767656.webp,2025-05-31 19:20:32
Grass Jelly Soya,27.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20231229132715051030/detail/menueditor_item_34d846da970e46b1ae616e9c4235148d_1703923992304431378.webp,2025-05-31 19:20:32
Red Bean Soya,27.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20231229132715039807/detail/menueditor_item_7450acfc813340ad95405c9d1a974438_1703924016666187082.webp,2025-05-31 19:20:32
Choco Soya,34.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023123007523064879/detail/menueditor_item_e5f55d475b1544f6bdbe1a4f127f66f2_1703924119280646172.webp,2025-05-31 19:20:32
Mango Soya,34.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023123007514382236/detail/menueditor_item_0c40f08248cf49b7a1a0a0b873cbb0e9_1703924141058537042.webp,2025-05-31 19:20:32
Strawberry Soya,34.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023123007512437222/detail/menueditor_item_613a618f9eeb458da53c4056c3dfbb6d_1703924163901600657.webp,2025-05-31 19:20:32
Earl Grey Soya,34.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024080103230412078/detail/menueditor_item_e6670f8d2a534f4687141102c7729643_1722484494152357149.webp,2025-05-31 19:20:32
Coffee Soya,38.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023123007525380730/detail/menueditor_item_b10388b9a4d2420e843b6a8c4442e274_1703924212712280390.webp,2025-05-31 19:20:32
Black Tea Soya,38.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023123007510234423/detail/menueditor_item_a1c557a64c50418f9329c56c8b3d8db3_1703924239708422792.webp,2025-05-31 19:20:32
Taro Soya,38.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20231229132715028778/detail/menueditor_item_2f95754a8c24409d8ac6bd95060ca10b_1703924270023451744.webp,2025-05-31 19:20:32
