Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
manisan jambu bangkok 300gr,35.000,"nanas, bengkuang, timun, pencit, dondong",https://food-cms.grab.com/compressed_webp/items/IDITE2024051601562632137/detail/menueditor_item_79ae85ee5227402b863e2830b342f2ea_1715824585656859559.webp,2025-05-31 19:30:05
asinan kiamboy,35.000,bisa request di potong pakai biji/ potong tanpa biji,https://food-cms.grab.com/compressed_webp/items/IDITE2024082117091431930/detail/menueditor_item_146e37dac44d42d49ff0fda8ff800759_1724260135325488737.webp,2025-05-31 19:30:05
rujak manis pedas,32.000,ada yg porsi kecil /bungkus besar,https://food-cms.grab.com/compressed_webp/items/IDITE2024092808313976872/detail/menueditor_item_cd5252a6f96d4e6d8d62393e1357234e_1727512290055509583.webp,2025-05-31 19:30:05
promo jambu (3 pack),90.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024100517485068418/detail/menueditor_item_1a6cae78741f484faeabf857f7a5ff31_1728150495711244329.webp,2025-05-31 19:30:05
rujak pencit garam bangkok,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024092808343893750/detail/menueditor_item_734754f54b8b4c938ded8b64a5eb00ff_1727512461957251121.webp,2025-05-31 19:30:05
rujak aceh,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024092808330633321/detail/menueditor_item_1c241bf47edd4ad0a0fb7f4c4bf96ce6_1727512377661609510.webp,2025-05-31 19:30:05
rujak jambu bumbu bangkok,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024092808333495078/detail/menueditor_item_15940ad7b46b418f842f10f52dde66a6_1727512407721633825.webp,2025-05-31 19:30:05
rujak mangga bumbu kacang pedas normal,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024092808351502712/detail/menueditor_item_86eebb558ee349e1ad91d5583daf8ac6_1727512505551285834.webp,2025-05-31 19:30:05
rujak mangga bumbu kacang pedas normal,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024092808351502712/detail/menueditor_item_86eebb558ee349e1ad91d5583daf8ac6_1727512505551285834.webp,2025-05-31 19:30:05
rujak pencit garam bangkok,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024092808343893750/detail/menueditor_item_734754f54b8b4c938ded8b64a5eb00ff_1727512461957251121.webp,2025-05-31 19:30:05
