Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Chantilly 22X22,277.273,"Kue lembut dengan cita rasa buah-buahan segar, yaitu ceri, anggur dan peach dipadukan dengan krim vanila lezat ditambah dengan cokelat putih dan buah-buahan di atasnya. Notes : Bentuk dan dekorasi dapat berbeda di beberapa store",https://food-cms.grab.com/compressed_webp/items/IDITE20230705170238014168/detail/c69071c5d7094ba18ca54cde86449e70_1702832586263077846.webp,2025-05-31 19:15:06
"Chantilly 15X14,5",162.545,"Kue lembut dengan cita rasa buah-buahan segar, yaitu ceri, anggur dan peach dipadukan dengan krim vanila lezat ditambah dengan cokelat putih dan buah-buahan di atasnya. Notes : Bentuk dan dekorasi dapat berbeda di beberapa store",https://food-cms.grab.com/compressed_webp/items/IDITE20230705170238071083/detail/1a083a7d7eac4984b929a07b10fb0314_1702832586665817641.webp,2025-05-31 19:15:06
Cheese Swirl Toast,34.273,Roti lembut keju gulung dengan taburan keju cheddar. Notes : Bentuk dan dekorasi dapat berbeda di beberapa store,https://food-cms.grab.com/compressed_webp/items/IDITE20230705170242083401/detail/ee451e358e1f4dd7bf2b83edd119ecc6_1702832598023782196.webp,2025-05-31 19:15:06
Meat N Cheese,17.909,"Roti dengan isi daging asap dan keju slice, dengan saus tomat dan mayonnaise serta taburan daun parsley",https://food-cms.grab.com/compressed_webp/items/IDITE20230705170235502852/detail/8048cb989c6b4555bee670d6f489ac8a_1702832596958607849.webp,2025-05-31 19:15:06
Floss Roll,15.636,Roti yang digulung dengan taburan abon ayam pedas dan biji wijen. Notes : Bentuk dan dekorasi dapat berbeda di beberapa store,https://food-cms.grab.com/compressed_webp/items/IDITE20230705170239070676/detail/b44c1bf11741457ba7020f98ade7ad24_1702832598090952828.webp,2025-05-31 19:15:06
Raisin Choco,32.182,Roti lembut coklat dengan isi kismis dan coklat chip dan topping coklat chip cookies. Notes : Bentuk dan dekorasi dapat berbeda di beberapa store,https://food-cms.grab.com/compressed_webp/items/IDITE20230705170238264694/detail/f119eef793d9495898095a5738a488c5_1702832586949093310.webp,2025-05-31 19:15:06
Black Forest (D15),211.909,Kue lembut isi krim coklat dan cherry dengan serutan cokelat murni dan cherry hitam. Notes : Bentuk dan dekorasi dapat berbeda di beberapa store,https://food-cms.grab.com/compressed_webp/items/IDITE20230705170237147067/detail/2930a5b7c89949e7bdea188a05ab532c_1702832598011262342.webp,2025-05-31 19:15:06
Chantilly (D15),211.909,"Kue lembut dengan cita rasa buah-buahan segar, yaitu ceri, anggur dan peach dipadukan dengan krim vanila lezat ditambah dengan cokelat putih dan buah-buahan di atasnya. Notes : Bentuk dan dekorasi dapat berbeda di beberapa store",https://food-cms.grab.com/compressed_webp/items/IDITE20230705170243115615/detail/abf046918cff4c4ca5970c7a18546bfc_1702832586709340132.webp,2025-05-31 19:15:06
Candle : I Love You,20.636,"Roti lembut dengan mayonnaise special dan taburan abon ayam dengan bumbu pedas khas Korea, serta wijen di atasnya.",https://food-cms.grab.com/compressed_webp/items/IDITE20230705170237114275/detail/9f33008695ad41b28a2bbef7bde63436_1688576557182401630.webp,2025-05-31 19:15:06
Candle : We Love You,20.636,"Roti lembut isi smoked beef dengan mayonaise spesial serta taburan abon ayam pedas, wijen, dan daun bawang di atasnya",https://food-cms.grab.com/compressed_webp/items/IDITE20230705170237230798/detail/3aeb4f38d31a4fdab1c50172853aeee7_1688576557454149761.webp,2025-05-31 19:15:06
