Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Happy Chicken Delight + Ice Green Tea,52.727,Chicken Steak served with Rice and Vegetables,https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475163887/detail/1ad17ddd0bae419cbe28dde24ed567c5_1743440493170026758.webp,2025-05-31 19:38:54
Promo Hemat 1,128.182,2 Menu Beef Pepper Rice (makanan sudah disajikan dalam keadaan matang dan tercampur),https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475122454/detail/91b2f9cc9b3f4ead91f382a4c18a0968_1743440487411308237.webp,2025-05-31 19:38:54
Pepper Steak (Termasuk Nasi),150.000,"Australian Beef Striploin, sauteed Vegetable (Beansprout, French Bean, and Corn), and Steamed Rice",https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475076727/detail/7734069bb02349f180db7d893ed92bcf_1743440484539546508.webp,2025-05-31 19:38:54
Beef & Cheese Pepper Rice + Ice Green Tea,52.728,Sliced beef served with cheese & rice (Makanan sudah disajikan dalam keadaan matang dan tercampur),https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475034166/detail/99b098e8d99e43f6bad2229c7421699f_1743440490813132064.webp,2025-05-31 19:38:54
Jumbo Beef Pepper Rice,101.820,Beef Pepper Rice with Jumbo Size (Makanan sudah disajikan dalam keadaan matang dan tercampur),https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475066271/detail/91c3f780665d4ece81f2e7b83cc519e1_1743440485377054147.webp,2025-05-31 19:38:54
Happy Hamburg Delight + Ice Greent Tea,57.273,Hamburg served with Rice and Vegetables,https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475133669/detail/26cb429b3c544065870f03f3f75b3179_1743440493917049226.webp,2025-05-31 19:38:54
Chicken & Cheese Pepper Rice + Ice Green Tea,48.181,Juicy Chicken served with cheese & rice (Makanan sudah disajikan dalam keadaan matang dan tercampur),https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475048486/detail/b3d71412d1f941ef925f6c5c8a77a0bf_1743440491554935024.webp,2025-05-31 19:38:54
Promo Hemat 2,130.000,1 Menu Chicken Pepper Rice & 1 Menu Salmon Pepper Rice,https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475020660/detail/84003684bb6e496b8b1f3b912eea8da7_1743440488029530177.webp,2025-05-31 19:38:54
Salmon & Cheese Pepper Rice + Ice Green Tea,61.820,Salmon served with cheese & rice (Makanan sudah disajikan dalam keadaan matang dan tercampur),https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475176093/detail/f515e5631cb4470b9afcb8474f1c482e_1743440492368360495.webp,2025-05-31 19:38:54
Promo Hemat 3,128.182,1 Menu Chicken Pepper Rice & 1 Menu Beef & Salmon Pepper Rice,https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475112189/detail/d11bc098a8dc463fa11546ab619ef57a_1743440488844760712.webp,2025-05-31 19:38:54
Beef Pepper Rice,75.455,Pepper Rice Beef and Corn with Pepper Lunch's special butter (Makanan sudah disajikan dalam keadaan matang dan tercampur),https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475099711/detail/ca95092a73b547b288a94e15e768b959_1743440486108025712.webp,2025-05-31 19:38:54
Happy Salmon Delight + Ice Green Tea,67.273,Salmon Steak served with Rice and Vegetables,https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475057932/detail/cbdc986c45bf4aea87371469592fc4de_1743440494694736988.webp,2025-05-31 19:38:54
Happy Diced Beef Delight + Ice Green Tea,67.273,Australian Diced Cut Beef served with Rice and Vegetables,https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475149904/detail/087aa968aaf949998d6c402225db1cca_1743440495315477311.webp,2025-05-31 19:38:54
Promo Hemat 4,116.362,1 Menu Chicken Pepper Rice & 1 Menu Beef Pepper Rice,https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475104528/detail/41d010d98048476ab266e42a9ec6b447_1743440489484906568.webp,2025-05-31 19:38:54
Salmon Pepper Rice,92.727,Pepper Rice Salmon and Corn with Pepper Lunch's special butter (Makanan sudah disajikan dalam keadaan matang dan tercampur),https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475000415/detail/a4d79cad70e14b2db31fcc5b723b8f04_1743440486743804851.webp,2025-05-31 19:38:54
Promo Hemat 5,99.998,2 Menu Chicken Pepper Rice,https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475015705/detail/2f6fa25c7fa247a7853a24e6d948c033_1743440490167921933.webp,2025-05-31 19:38:54
Promo Hemat 1,128.182,2 Menu Beef Pepper Rice (makanan sudah disajikan dalam keadaan matang dan tercampur),https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475122454/detail/91b2f9cc9b3f4ead91f382a4c18a0968_1743440487411308237.webp,2025-05-31 19:38:54
Jumbo Beef Pepper Rice,101.820,Beef Pepper Rice with Jumbo Size (Makanan sudah disajikan dalam keadaan matang dan tercampur),https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475066271/detail/91c3f780665d4ece81f2e7b83cc519e1_1743440485377054147.webp,2025-05-31 19:38:54
Beef & Cheese Pepper Rice + Ice Green Tea,52.728,Sliced beef served with cheese & rice (Makanan sudah disajikan dalam keadaan matang dan tercampur),https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475034166/detail/99b098e8d99e43f6bad2229c7421699f_1743440490813132064.webp,2025-05-31 19:38:54
Double Hamburg Steak with Egg (termasuk nasi),111.818,"Double Hamburg Steak & Egg, sauteed Vegetable (Beansprout, French Bean, and Corn), and Steamed Rice. Order with Brown Sauce",https://food-cms.grab.com/compressed_webp/items/IDITE2024031817073421059933/detail/0d2651694ad447eca2f9df24d616c7f9_1710781654660948256.webp,2025-05-31 19:38:54
Teriyaki Double Salmon (termasuk nasi),131.818,"Salmon Steak with Japanese Teriyaki Sauce, sauteed Vegetable (Beansprout, French Bean, and Corn), and Steamed Rice",https://food-cms.grab.com/compressed_webp/items/IDITE2024031817073321018506/detail/1d2da87a5c4b4142b567cb42eb7c5dea_1710781653771009776.webp,2025-05-31 19:38:54
Beef & Salmon Pepper Rice,89.091,Pepper Rice Beef & Salmon and Corn with Pepper Lunch's special butter,https://food-cms.grab.com/compressed_webp/items/IDITE2024031817073220986167/detail/0d8dfda146d144a9a699360c472ee8dd_1710781652991041410.webp,2025-05-31 19:38:54
Happy Hamburg Delight + Ice Greent Tea,57.273,Hamburg served with Rice and Vegetables,https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475133669/detail/26cb429b3c544065870f03f3f75b3179_1743440493917049226.webp,2025-05-31 19:38:54
Promo Hemat 5,99.998,2 Menu Chicken Pepper Rice,https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475015705/detail/2f6fa25c7fa247a7853a24e6d948c033_1743440490167921933.webp,2025-05-31 19:38:54
Happy Chicken Delight + Ice Green Tea,52.727,Chicken Steak served with Rice and Vegetables,https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475163887/detail/1ad17ddd0bae419cbe28dde24ed567c5_1743440493170026758.webp,2025-05-31 19:38:54
Happy Hamburg Delight + Ice Greent Tea,57.273,Hamburg served with Rice and Vegetables,https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475133669/detail/26cb429b3c544065870f03f3f75b3179_1743440493917049226.webp,2025-05-31 19:38:54
Happy Salmon Delight + Ice Green Tea,67.273,Salmon Steak served with Rice and Vegetables,https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475057932/detail/cbdc986c45bf4aea87371469592fc4de_1743440494694736988.webp,2025-05-31 19:38:54
Happy Diced Beef Delight + Ice Green Tea,67.273,Australian Diced Cut Beef served with Rice and Vegetables,https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475149904/detail/087aa968aaf949998d6c402225db1cca_1743440495315477311.webp,2025-05-31 19:38:54
Beef & Cheese Pepper Rice + Ice Green Tea,52.728,Sliced beef served with cheese & rice (Makanan sudah disajikan dalam keadaan matang dan tercampur),https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475034166/detail/99b098e8d99e43f6bad2229c7421699f_1743440490813132064.webp,2025-05-31 19:38:54
Chicken & Cheese Pepper Rice + Ice Green Tea,48.181,Juicy Chicken served with cheese & rice (Makanan sudah disajikan dalam keadaan matang dan tercampur),https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475048486/detail/b3d71412d1f941ef925f6c5c8a77a0bf_1743440491554935024.webp,2025-05-31 19:38:54
Salmon & Cheese Pepper Rice + Ice Green Tea,61.820,Salmon served with cheese & rice (Makanan sudah disajikan dalam keadaan matang dan tercampur),https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475176093/detail/f515e5631cb4470b9afcb8474f1c482e_1743440492368360495.webp,2025-05-31 19:38:54
Promo Hemat 1,128.182,2 Menu Beef Pepper Rice (makanan sudah disajikan dalam keadaan matang dan tercampur),https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475122454/detail/91b2f9cc9b3f4ead91f382a4c18a0968_1743440487411308237.webp,2025-05-31 19:38:54
Promo Hemat 2,130.000,1 Menu Chicken Pepper Rice & 1 Menu Salmon Pepper Rice,https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475020660/detail/84003684bb6e496b8b1f3b912eea8da7_1743440488029530177.webp,2025-05-31 19:38:54
Promo Hemat 3,128.182,1 Menu Chicken Pepper Rice & 1 Menu Beef & Salmon Pepper Rice,https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475112189/detail/d11bc098a8dc463fa11546ab619ef57a_1743440488844760712.webp,2025-05-31 19:38:54
Promo Hemat 4,116.362,1 Menu Chicken Pepper Rice & 1 Menu Beef Pepper Rice,https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475104528/detail/41d010d98048476ab266e42a9ec6b447_1743440489484906568.webp,2025-05-31 19:38:54
Promo Hemat 5,99.998,2 Menu Chicken Pepper Rice,https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475015705/detail/2f6fa25c7fa247a7853a24e6d948c033_1743440490167921933.webp,2025-05-31 19:38:54
Pepper Steak (Termasuk Nasi),150.000,"Australian Beef Striploin, sauteed Vegetable (Beansprout, French Bean, and Corn), and Steamed Rice",https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475076727/detail/7734069bb02349f180db7d893ed92bcf_1743440484539546508.webp,2025-05-31 19:38:54
Jumbo Beef Pepper Rice,101.820,Beef Pepper Rice with Jumbo Size (Makanan sudah disajikan dalam keadaan matang dan tercampur),https://food-cms.grab.com/compressed_webp/items/IDITE202503200839475066271/detail/91c3f780665d4ece81f2e7b83cc519e1_1743440485377054147.webp,2025-05-31 19:38:54
