Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Best Deal Package 5,39.999,"Brown Sugar Boba Chocolate, Matcha Boba Milk",https://food-cms.grab.com/compressed_webp/items/IDITE2025031408512244545/detail/menueditor_item_67719590d9b44efe92cc405c4935fdc3_1741942261961201875.webp,2025-05-31 19:27:16
Best Deal Package 4,39.999,"Lemon Black Tea, Signature Grass Jelly Large",https://food-cms.grab.com/compressed_webp/items/IDITE2025031408504668456/detail/menueditor_item_91c36907122d4e558c82fe787687fa6c_1741942223884397908.webp,2025-05-31 19:27:16
Best Deal Package 3,88.888,"Peach Oolong Milk Tea, Grape Jello Tea, Brown Sugar Boba Chocolate",https://food-cms.grab.com/compressed_webp/items/IDITE2025031408501043573/detail/menueditor_item_7e49691abc664e01a69531a3c2e8aebc_1741942186945425165.webp,2025-05-31 19:27:16
Best Deal Package 2,88.888,"Peach Oolong Lemon Tea, Matcha Boba Milk, Grape Jello Tea",https://food-cms.grab.com/compressed_webp/items/IDITE2025031408493092422/detail/menueditor_item_b9206a4b95f24148ae551e195cf739c8_1741942144244808340.webp,2025-05-31 19:27:16
Best Deal Package 1,39.999,"Tie Guanyin Lemon Tea, Peach Oolong Milk Tea",https://food-cms.grab.com/compressed_webp/items/IDITE2025031408484823749/detail/menueditor_item_4af98e9dc3594cad98c546312fc143fb_1741942052805519294.webp,2025-05-31 19:27:16
Peach Oolong Milk Tea,15.400,"Milkshake drink dengan campuran Jus Peach, Susu Murni, dan topping Mochi yang halus dan lembut menghasilkan rasa manis yang menyegarkan ditenggorokan, teman terbaikmu disaat hari sedang membiru.",https://food-cms.grab.com/compressed_webp/items/IDITE2024091812385263874/detail/menueditor_item_895d465e906a4f938dcf6b73f35174a2_1726734651489240411.webp,2025-05-31 19:27:16
Jumbo Fruit Tea,20.350,"Bucket Drink yang berisi ragam buah seperti Irisan Mangga, Nanas, Jeruk Iris, dan Orange Jelly dengan porsi sangat mengenyangkan",https://food-cms.grab.com/compressed_webp/items/IDITE2024091812311722922/detail/menueditor_item_de8457a419094314b502840bd43bd0f2_1726734381971355627.webp,2025-05-31 19:27:16
Peach Oolong Lemon Tea,16.500,"Minuman segar dengan Jus Peach sebagai rasa utamanya, dengan sentuhan Teh Oolong dan Irisan Jeruk membuat rasa dari minuman ini segar dan menjadi pilihan tepat untuk penghilang dahagamu.",https://food-cms.grab.com/compressed_webp/items/IDITE2024091812282417883/detail/menueditor_item_22baeb86d59b4f0ab5257dd89a30c880_1726734250537446762.webp,2025-05-31 19:27:16
Tie Guanyin Lemon Tea,13.750,Rasa dari Teh Guanyin orisinil dari Tiongkok dan dipadukan dengan segarnya Lemon Tea menjadikan menu ini banyak digemari oleh pecinta teh di lebih dari 8 negara asia dan eropa.,https://food-cms.grab.com/compressed_webp/items/IDITE2024091812271329722/detail/menueditor_item_debf9c90fad9475d942c52ec963d1ffa_1726734273026240795.webp,2025-05-31 19:27:16
Jumbo Fruit Tea,20.350,"Bucket Drink yang berisi ragam buah seperti Irisan Mangga, Nanas, Jeruk Iris, dan Orange Jelly dengan porsi sangat mengenyangkan",https://food-cms.grab.com/compressed_webp/items/IDITE2024091812311722922/detail/menueditor_item_de8457a419094314b502840bd43bd0f2_1726734381971355627.webp,2025-05-31 19:27:16
