Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Chicken Mozaru Regular,71.500,"Regular Japanese Baked Rice with Chicken and Mozarella Cheese, more than one choice of Sauce Mozaru and servings",https://food-cms.grab.com/compressed_webp/items/IDITE2020061511201190720/detail/6-CYMXL6MFMADCME_5c21d278e8fc45bea8a1d617a0de2b77_1684919449534883340.webp,2025-05-31 19:08:43
Mozaru Hamburg Reguler,108.900,"Regular Japanese Baked Rice with Mushroom and Mozarella Cheese, more than one choice of Sauce Mozaru and servings",https://food-cms.grab.com/compressed_webp/items/IDITE2022112304504985965/detail/menueditor_item_31c2e88743f54ba38857809e7cd6abe1_1669179015665578367.webp,2025-05-31 19:08:43
Mushroom Mozaru Regular,60.500,"Large Japanese Baked Rice with Chicken and Mozarella Cheese, more than one choice of Sauce Mozaru and servings",https://food-cms.grab.com/compressed_webp/items/IDITE2020061510232151790/detail/ee2ab2f2ccd54bd4935f9e820ed574bc_1644991800600919056.webp,2025-05-31 19:08:43
Chicken Mozaru Large,97.900,"Large Japanese Baked Rice with Premium Beef and Mozarella Cheese, more than one choice of Sauce Mozaru and servings",https://food-cms.grab.com/compressed_webp/items/IDITE2020061511210436225/detail/6-CYMXL6MFMADCME_579b798206394bafb33de267373cc5f4_1684919449383679865.webp,2025-05-31 19:08:43
Salmon Mentaiko Donburi,86.900,"Japanese Fried Rice with omelette egg on top, served with Chicken and curry sauce",https://food-cms.grab.com/compressed_webp/items/IDITE2022112305105253801/detail/menueditor_item_47c34564e8ff425b834188664788a500_1669180318773941739.webp,2025-05-31 19:08:43
Beef Mozaru Large,119.900,Chicken Mozaru Reguler + Chicken Teriyaki Donburi,https://food-cms.grab.com/compressed_webp/items/IDITE2020061511225251576/detail/d4eb9f7171ef4ab6bbba0079a53b267a_1644991799688270694.webp,2025-05-31 19:08:43
Chicken Omurice,71.500,Chicken Teppanyaki + Gohan + Miso Soup + Salmon Skin Makimono,https://food-cms.grab.com/compressed_webp/items/IDITE2021091214173297580/detail/a95de45a3bd141eaaa3f16fa494824ca_1644991801480633347.webp,2025-05-31 19:08:43
Kanzen Beef Furai Bento,49.500,Beef Mozaru Reguler + Beef Yakimeshi reguler,https://food-cms.grab.com/compressed_webp/items/IDITE2023071402332428537/detail/menueditor_item_f9e5714d32e64aa5aa69f16697e55a89_1689301985656250955.webp,2025-05-31 19:08:43
Kanzen Chicken Teriyaki Bento,36.300,Chicken Mozaru Reguler + Chicken Curry,https://food-cms.grab.com/compressed_webp/items/IDITE2023071402295103826/detail/menueditor_item_2a9be61fdf9b44ebaf48b0ec07051bf3_1689301760753179974.webp,2025-05-31 19:08:43
Kanzen Beef Teriyaki Bento,38.500,Beef Mozaru Reguler + Chicken Mozaru Reguler,https://food-cms.grab.com/compressed_webp/items/IDITE2023071402303951727/detail/menueditor_item_96fb8316219a4167867e7a7d0785381e_1689301812727244028.webp,2025-05-31 19:08:43
